"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode","firstReportedSource","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","recordCount","iNatObservationStatus"
"Loranthophycus californicus","E.Y.Dawson",,"parasitic red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Delesseriaceae","","","Loranthophycus","californicus",,"","",,"unlisted","unlisted","reported",,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston",,"GWS027463",,,,,"""Loranthophycus californicus” COI Sequenced; name updated from Holmesia californica (E.Y.Dawson) E.Y.Dawson (from algaebase, but doesn't appear to be a new update yet G&L key still lists Holmesia with no comment); for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuing taxonomy uncertain, putting name in quotes.",504865,"ALG","BOLD","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027463",1,"unobserved"
"Lyrella hennedyi","(W.Smith) Stickle & D.G.Mann",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Lyrellales","",,"Lyrellaceae","","","Lyrella","hennedyi",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:63",,,,,"",1509818,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:63",1,"unobserved"
"Mastocarpus species complex","",,"Turkish washcloth","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Gigartinales","",,"Phyllophoraceae","","","Mastocarpus","",,"","",,"unlisted","unlisted","confirmed",,"2015-08-05","",,"",,,,,"",117821,"ALG","iNaturalist","2023-05-28","","iNaturalist","",32,"observed"
"Mazzaella oregona","(Doty) Hughey, P.C.Silva & Hommersand",,"northern mazza weed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Gigartinales","",,"Gigartinaceae","","","Mazzaella","oregona",,"","",,"unlisted","unlisted","new 2019",,"2019-05-04","",,"",,,,,"",362211,"ALG","iNaturalist","2019-05-04","","iNaturalist","",2,"observed"
"Mazzaella splendens","(Setchell & N.L. Gardner) Fredericq",,"iridescent seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Gigartinales","",,"Gigartinaceae","","","Mazzaella","splendens",,"","",,"unlisted","unlisted","new 2016",,"2016-07-11","",,"",,,,,"",71118,"ALG","iNaturalist","2023-07-22","","iNaturalist","",31,"observed"
"Melanosiphon intestinalis","(De A.Saunders) M.J.Wynne",,"twisted sea tubes","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",,"Ectocarpales","",,"Chordariaceae","","","Melanosiphon","intestinalis",,"","",,"unlisted","unlisted","new 2019",,"2019-05-04","",,"",,,,,"",345332,"ALG","iNaturalist","2020-04-10","","iNaturalist","",3,"observed"
"Melosira moniliformis","C.Agardh",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae",,"Melosirales","",,"Melosiraceae","","","Melosira","moniliformis",,"","",,"unlisted","unlisted","confirmed",,"2012-07-13","",,"",,,,,"",359966,"ALG","iNaturalist","2021-11-07","","iNaturalist","",2,"observed"
"Melosira nummuloides","C. Agardh.",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae",,"Melosirales","",,"Melosiraceae","","","Melosira","nummuloides",,"","",,"unlisted","unlisted","confirmed",,"2010-12-26","",,"",,,,,"",460262,"ALG","iNaturalist","2011-01-15","","iNaturalist","",2,"observed"
"Membraneis challengeri","(Grunow) Paddock",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Membraneis","challengeri",,"","",,"unlisted","unlisted","confirmed",,"2005-07-14","",,"",,,,,"",521233,"ALG","iNaturalist","2008-07-11","","iNaturalist","",2,"observed"
"Membranoptera platyphylla","(Setchell & N.L.Gardner) Kylin",,"feather-veined red seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Delesseriaceae","Delesserioideae","","Membranoptera","platyphylla",,"","",,"unlisted","unlisted","confirmed",,"1977-11-27","Michael W. Hawkes",,"A57497",,,,,"reported as Membranoptera multiramosa",873897,"ALG","UBC","2022-02-25","","iNaturalist","",18,"observed"
"Mesophyllum sp.","",,"red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae",,"Corallinales","",,"Corallinaceae","","","Mesophyllum","",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:185",,,,,"",153164,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:185",1,"unobserved"
"Microcladia borealis","Ruprecht",,"coarse sea lace","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Ceramiaceae","","","Microcladia","borealis",,"","",,"unlisted","unlisted","confirmed",,"2006-11-11","Andy Lamb",,"PMLS2021:1215",,,,,"",339006,"ALG","PMLS","2023-05-27","","iNaturalist","",18,"observed"
"Microcladia coulteri","Harvey",,"delicate sea lace","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Ceramiaceae","","","Microcladia","coulteri",,"","",,"unlisted","unlisted","confirmed",,"2006-11-18","Andy Lamb",,"PMLS2021:1239",,,,,"",71116,"ALG","PMLS","2022-02-24","","iNaturalist","",14,"observed"
"Microglena sp.","",,"green alga","Plantae","Chlorophyta","","","Chlorophyceae","",,"Volvocales","",,"Chlamydomonadaceae","","","Microglena","",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:171",,,,,"",1367998,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:171",1,"unobserved"
"Minidiscus chilensis","Rivera",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Thalassiosirophycidae",,"Thalassiosirales","",,"Thalassiosiraceae","","","Minidiscus","chilensis",,"","",,"unlisted","unlisted","new 2021",,"2021-03-07","",,"",,,,,"",1125490,"ALG","iNaturalist","2021-03-07","","iNaturalist","",1,"observed"
"Minidiscus trioculatus","(F.J.R.Taylor) Hasle",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Thalassiosirophycidae",,"Thalassiosirales","",,"Thalassiosiraceae","","","Minidiscus","trioculatus",,"","",,"unlisted","unlisted","confirmed",,"2005-07-24","",,"",,,,,"",1125489,"ALG","iNaturalist","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:50",5,"observed"
"Monostroma grevillei","(Thuret) Wittrock",,"sea cellophane","Plantae","Chlorophyta","","","Ulvophyceae","",,"Ulotrichales","",,"Monostromataceae","","","Monostroma","grevillei",,"","",,"unlisted","unlisted","new 2019",,"2019-05-04","",,"",,,,,"",465247,"ALG","iNaturalist","2019-05-04","","iNaturalist","",1,"observed"
"Nanofrustulum shiloi","(J.J.Lee, Reimer & McEnery) Round, Hallsteinsen & Paasche",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae",,"Fragilariales","",,"Staurosiraceae","","","Nanofrustulum","shiloi",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:66",,,,,"",1509819,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:66",1,"unobserved"
"Navicula agatkae","Witkowski, Lange-Bertalot & Metzeltin ",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","agatkae",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:68",,,,,"",1509816,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:68",1,"unobserved"
"Navicula avium","(M.E.Tiffany, Herwig & Sterrenburg) Yuhang Li & Kuidong Xi",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","avium",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:69",,,,,"",1424571,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:52",3,"unobserved"
"Navicula cari","Ehrenberg 1836",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","cari",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:70",,,,,"",492500,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:70",1,"unobserved"
"Navicula glaciei","Van Heurck",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","glaciei",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:71",,,,,"",1424572,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:71",1,"unobserved"
"Navicula hippodontafallax","Ch.Li in Witkowski et al.",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","hippodontafallax",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:72",,,,,"",1465275,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:53",3,"unobserved"
"Navicula kongfjordensis","Stachura et al.",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","kongfjordensis",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:73",,,,,"",1465261,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:54",3,"unobserved"
"Navicula perminuta","Grunow",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","perminuta",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:74",,,,,"",1000896,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:55",3,"unobserved"
"Navicula ramosissima","(C.Agardh) Cleve",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","ramosissima",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:76",,,,,"",971073,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:57",3,"unobserved"
"Navicula reinhardtii","(Grunow) Grunow",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","reinhardtii",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:77",,,,,"",713270,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:77",1,"unobserved"
"Navicula rhynchocephala","Kützing",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","rhynchocephala var. hankensis",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:78",,,,,"reported as Navicula rhynchocephala var. hankensis Skvortzov, nom. illeg. 1929; freshwater species? (AlgaeBase, 2023)",496854,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:58",3,"unobserved"
"Navicula rhynchotella","Lange-Bertalot",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","rhynchotella",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:79",,,,,"",492509,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:59",3,"unobserved"
"Navicula septentrionalis","Cleve",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","septentrionalis",,"","",,"unlisted","unlisted","reported",,"2008-07-23","",,"",,,,,"",1269159,"ALG","iNaturalist","2008-07-23","","iNaturalist","",1,"observed"
"Navicula slesvicensis","Grunow",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Navicula","slesvicensis",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:80",,,,,"",1450859,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:80",1,"unobserved"
"Neoagarum fimbriatum","(Harvey) H.Kawai & T.Hanyuda",,"fringed sea colander kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",,"Laminariales","",,"Agaraceae","","","Neoagarum","fimbriatum",,"","",,"unlisted","unlisted","confirmed",,"1994-10-07","Andy Lamb",,"PMLS2021:205",,,,,"",895193,"ALG","PMLS","2023-05-27","Zach Montieth","SCL","17877",111,"observed"
"Neobodo sp.","",,"protozoan","Protozoa","Euglenozoa","","","Kinetoplastea","Metakinetoplastia",,"Neobodonida","",,"Neobodonidae","","","Neobodo","",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:223",,,,,"",966690,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:223",1,"unobserved"
"Neocalyptrella robusta","(G. Norman ex Ralfs) Hernández-Becerril & Meave del Castillo",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae",,"Rhizosoleniales","",,"Rhizosoleniaceae","","","Neocalyptrella","robusta",,"","",,"unlisted","unlisted","reported",,"2010-12-26","",,"",,,,,"",493946,"ALG","iNaturalist","2010-12-26","","iNaturalist","",1,"observed"
"Neogastroclonium subarticulatum","(Turner) L.Le Gall, Dalen & G.W.Saunders",,"sea belly","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Rhodymeniales","",,"Champiaceae","","","Neogastroclonium","subarticulatum",,"","",,"unlisted","unlisted","new 2019",,"2019-05-04","",,"",,,,,"",339052,"ALG","iNaturalist","2019-05-04","","iNaturalist","",1,"observed"
"Neoporphyra perforata","(J. Agardh) L.-E.Yang & J.Brodie",,"red laver","Plantae","Rhodophyta","Eurhodophytina","","Bangiophyceae","",,"Bangiales","",,"Bangiaceae","","","Neoporphyra","perforata",,"","",,"unlisted","unlisted","new 2019",,"2019-05-04","",,"",,,,,"",1497897,"ALG","iNaturalist","2023-05-28","S.C. Lindstrom","SCL","17901",2,"observed"
"Neorhodomela larix","(Turner) Masuda",,"black pine seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Rhodomelaceae","","","Neorhodomela","larix",,"","",,"unlisted","unlisted","new 2017",,"2017-01-27","",,"",,,,,"",67413,"ALG","iNaturalist","2023-05-27","","iNaturalist","",12,"observed"
"Neorhodomela oregona","(Doty) Masuda",,"Oregon pine","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Rhodomelaceae","","","Neorhodomela","oregona",,"","",,"unlisted","unlisted","new 2023",,"2023-05-28","S.C. Lindstrom",,"17899",,,,,"",709410,"ALG","SCL","2023-05-28","S.C. Lindstrom","SCL","17899",1,"unobserved"
"Nereocystis luetkeana","(K.Mertens) Postels & Ruprecht",,"bull kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",,"Laminariales","",,"Lessoniaceae","","","Nereocystis","luetkeana",,"","",,"unlisted","unlisted","confirmed",,"1985-07-29","Andy Lamb",,"PMLS2021:182",,,,,"",120499,"ALG","PMLS","2023-09-10","","iNaturalist","",211,"observed"
"Nitzschia adhaerens","Mucko & Bosak",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","adhaerens",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:84",,,,,"",1509803,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:84",1,"unobserved"
"Nitzschia amabilis","H.Suzuki",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","amabilis",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:89",,,,,"reported as Nitzschia laevis",1137256,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:65",3,"unobserved"
"Nitzschia capitellata","Hustedt",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","capitellata",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:85",,,,,"",1001068,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:85",1,"unobserved"
"Nitzschia draveillensis","Coste & Ricard",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","draveillensis",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:86",,,,,"AlgaeBase indicates that this is a freshwater species",1405571,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:86",1,"unobserved"
"Nitzschia dubia","W.Smith",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","dubia",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:87",,,,,"",971132,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:87",1,"unobserved"
"Nitzschia dubiiformis","Hustedt",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","dubiiformis",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:88",,,,,"",1424970,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:63",3,"unobserved"
"Nitzschia inconspicua","Grunow",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","inconspicua",,"","",,"unlisted","unlisted","new 2023",,"2023-01-01","Mark Webber, Arjan van Asselt",,"WEBBERETAL2023:64",,,,,"",533660,"ALG","Webber et al. 2023","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:64",2,"unobserved"
"Nitzschia promare","Medlin",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","promare",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:91",,,,,"",1465262,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:91",1,"unobserved"
"Nitzschia recta","Hantzsch ex Rabenhorst",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","recta",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:92",,,,,"",492481,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:66",3,"unobserved"
"Nitzschia reversa","W.Smith",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","reversa",,"","",,"unlisted","unlisted","reported",,"2006-01-11","",,"",,,,,"",479914,"ALG","iNaturalist","2006-01-11","","iNaturalist","",1,"observed"
"Nitzschia sigma","(Kützing) W.Smith",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","sigma",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:93",,,,,"",345189,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:93",1,"unobserved"
"Nitzschia sigmoidea","(Nitzsch) W.Smith",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","sigmoidea",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:94",,,,,"",494455,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:67",3,"unobserved"
"Nitzschia spathulata","Brébisson ex W.Smith",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","spathulata",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:96",,,,,"",971238,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:69",3,"unobserved"
"Nitzschia traheaformis","Chunlian Li, Witkowski & Yu",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:97",,,,,"",1509990,"ALG","Webber et al. 2020","2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2020","WEBBERETAL2020:97",1,"unobserved"
"Nitzschia volvendirostrata","Ashworth, Dabek & Witkowski",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Bacillariales","",,"Bacillariaceae","","","Nitzschia","volvendirostrata",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:98",,,,,"",1465263,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:70",3,"unobserved"
"Octactis speculum","(Ehrenberg) F.H.Chang, J.M.Grieve & J.E.Sutherland",,"flagellate","Chromista","Ochrophyta","","","Dictyochophyceae","",,"Dictyochales","",,"Dictyochaceae","","","Octactis","speculum",,"","",,"unlisted","unlisted","confirmed",,"2005-07-19","",,"",,,,,"",1073308,"ALG","iNaturalist","2012-07-13","","iNaturalist","",4,"observed"
