Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Scytinium platynum,"(Tuck.) Otálora, P.M. Jørg. & Wedin",,batwing vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,platynum,,,,native,S3S4 (2018); Endangered (SARA),,new 2013,observed,,,,,,2013-03-22,Ryan Batten,iNat:9142162,reported as Leptogium platynum,532310,LIC,accepted,532310,Scytinium platynum,Scytinium platynum
Scytinium plicatile,"(Ach.) Otálora, P.M. Jørg. & Wedin",,seastar vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,plicatile,,,,native,S4 (2018),,new 2013,observed,,,,,,2013-03-22,Ryan Batten,iNat:9142618,reported as Leptogium plicatile,532311,LIC,accepted,532311,Scytinium plicatile,Scytinium plicatile
Scytinium polycarpum,"(P.M. Jørg. & Goward) Otálora, P.M. Jørg. & Wedin",,peacock vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,polycarpum,,,,native,S4 (2018); Species of Special Concern (SARA),,new 2016,observed,,,,,,2016-03-10,Lauren Magner & Andrew Simon,iNat:2767527,reported as Leptogium polycarpum,532312,LIC,accepted,532312,Scytinium polycarpum,Scytinium polycarpum
Scytinium rivale,"(Tuck.) Otálora, P.M. Jørg. & Wedin",,creekbed vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,rivale,,,,native,SNR (2010),,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35921,,,,,reported as Leptogium rivale; look at Whaler Bay,1032757,LIC,accepted,1032757,Scytinium rivale,Scytinium rivale
Scytinium subaridum,"(P.M. Jørg. & Goward) Otálora, P.M. Jørg. & Wedin",,rancher's vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,subaridum,,,,native,S4 (2019),,new 2021,observed,,,,,,2021-05-01,Andrew Simon,iNat:83017059,,532316,LIC,accepted,532316,Scytinium subaridum,Scytinium subaridum
Lobaria anomala,(Brodo & Ahti) T. Sprib. & McCune.,,netted specklebelly,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Lobaria,anomala,,,,native,S3S4 (2010),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L14335,,2018-03-18,Andrew Simon,iNat:10306713,reported as Pseudocyphellaria anomala,463448,LIC,accepted,463448,Lobaria anomala,Lobaria anomala
Lobaria pulmonaria,(L.) Hoffm.,,lungwort,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Lobaria,pulmonaria,,,,native,S5 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L14341,,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565168,,48711,LIC,accepted,48711,Lobaria pulmonaria,Lobaria pulmonaria
Lobaria scrobiculata,(Scop.) DC.,,textured lung,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Lobarina,scrobiculata,,,,native,S4 (2010),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L14333,,2016-12-04,Andrew Simon,iNat:4716501,,117850,LIC,unaccepted,403505,Lobarina scrobiculata,Lobaria scrobiculata
Sticta globulifuliginosa,Moncada & Lücking,,peppered moon lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Sticta,globulifuliginosa,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L14339,,2016-10-20,Andrew Simon,iNat:4425658,reported as Sticta fuliginosa,117889,LIC,accepted,1456918,Sticta globulifuliginosa,Sticta fuliginosa
Sticta gretae,Goward & Di Meglio,,peppered moon lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Sticta,gretae,,,,native,unlisted,,new 2021,observed,,,,,,2021-05-01,Andrew Simon,iNat:79112162,,1456919,LIC,accepted,1456919,Sticta gretae,Sticta gretae
Sticta limbata,(Sm.) Ach.,,powdered moon lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,Sticta,limbata,,,,native,S3S4 (2010),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L14328,,2018-03-18,Andrew Simon,iNat:10306665,,117888,LIC,accepted,117888,Sticta limbata,Sticta limbata
Leptochidium albociliatum,(Desmaz.) Choisy.,,whiskered codger,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Massalongiaceae,,,Leptochidium,albociliatum,,,,native,S3S4 (2010),,new 2017,observed,,,,,,2017-03-25,Andrew Simon,iNat:5471413,,223432,LIC,accepted,223432,Leptochidium albociliatum,Leptochidium albociliatum
Massalongia carnosa,(Dicks.) Körb.,,rockmoss rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Massalongiaceae,,,Massalongia,carnosa,,,,native,S4 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L14340,,2017-03-25,Andrew Simon,iNat:5483241,,224470,LIC,accepted,224470,Massalongia carnosa,Massalongia carnosa
Nephroma laevigatum,Ach.,,mustard paw,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Nephromataceae,,,Nephroma,laevigatum,,,,native,S3S4 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L10896,,2016-09-03,Andrew Simon,iNat:4030003,,117847,LIC,accepted,117847,Nephroma laevigatum,Nephroma laevigatum
Nephroma parile,(Ach.) Ach.,,powdered paw,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Nephromataceae,,,Nephroma,parile,,,,native,S5 (2018),,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,182501,LIC,accepted,182501,Nephroma parile,Nephroma parile
Nephroma resupinatum,(L.) Ach.,,pimpled paw,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Nephromataceae,,,Nephroma,resupinatum,,,,native,S4 (2018),,new 2017,observed,,,,,,2017-10-26,Andrew Simon,iNat:8591087,,203975,LIC,accepted,203975,Nephroma resupinatum,Nephroma resupinatum
Fuscopannaria crustacea,P.M. Jørg.,,encrusting crackers,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Fuscopannaria,crustacea,,,,native,S1S2 (2019),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L20704,,,,,,220253,LIC,accepted,220253,Fuscopannaria crustacea,Fuscopannaria crustacea
Fuscopannaria cyanolepra,(Tuck.) P.M. Jørg.,,disintegrating crackers,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Fuscopannaria,cyanolepra,,,,native,S3S4 (2019),,new 2022,observed,,,,,,2022-04-09,Andrew Simon,iNat:110932079,,220254,LIC,accepted,220254,Fuscopannaria cyanolepra,Fuscopannaria cyanolepra
Fuscopannaria leprosa,P.M. Jørg. & Tønsberg.,,powdered shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Fuscopannaria,leprosa,,,,native,unlisted,,reported,unobserved,1974-04-21,Willa J. Noble,UBC,L35665,,,,,,220259,LIC,accepted,220259,Fuscopannaria leprosa,Fuscopannaria leprosa
Fuscopannaria maritima,P.M. Jørg.,,seaside shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Fuscopannaria,maritima,,,,native,S4 (2010),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L20705,,2017-12-22,Andrew Simon,iNat:9237317,,220262,LIC,accepted,220262,Fuscopannaria maritima,Fuscopannaria maritima
Fuscopannaria praetermissa,(Nyl.) P.M. Jørg.,,thumbs-up shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Fuscopannaria,praetermissa,,,,native,S4 (2010),,confirmed,observed,1974-04-21,Willa J. Noble,UBC,L35656,,2021-05-05,Andrew Simon,iNat:77854389,,220265,LIC,accepted,220265,Fuscopannaria praetermissa,Fuscopannaria praetermissa
Peltigera aphthosa,(L.) Willd.,,silver-lined pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,aphthosa,,,,native,S5 (2018),,reported,unobserved,1977-07-24,Teuvo Ahti,UBC,L11159,,,,,,119675,LIC,accepted,119675,Peltigera aphthosa,Peltigera aphthosa
Peltigera britannica,(Gyelnik) Holtan-Hartwig & Tønsb.,,flaky freckle pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,britannica,,,,native,S5 (2018),,new 2015,observed,,,,,,2015-03-07,Andrew Simon,iNat:2572163,,119677,LIC,accepted,119677,Peltigera britannica,Peltigera britannica
Peltigera canina,(L.) Willd.,,dog pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,canina,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-10-25,Kevin Toomer,iNat:8551845,,180500,LIC,accepted,180500,Peltigera canina,Peltigera canina
Peltigera collina,(Ach.) Schrad.,,tree pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,collina,,,,native,S4S5 (2010),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L1584,,2015-03-13,Lauren Magner & Andrew Simon,iNat:2580212,,194736,LIC,accepted,194736,Peltigera collina,Peltigera collina
Peltigera degenii,Gyelnik.,,lustrous pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,degenii,,,,native,S4 (2018),,confirmed,observed,1962-06-03,Wilfred B. Schofield,UBC,L6671,,2019-05-27,Andrew Simon,iNat:25912190,,179748,LIC,accepted,179748,Peltigera degenii,Peltigera degenii
Peltigera didactyla,(With.) J.R. Laundon.,,temporary pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,didactyla,,,,native,S5 (2018),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L19583,,,,,,180444,LIC,accepted,180444,Peltigera didactyla,Peltigera didactyla
Peltigera hymenina,(Ach.) Delise.,,nebulous pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,hymenina,,,,native,S3S4 (2018),,confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,L6637,,2017-04-24,Andrew Simon,iNat:39130368,,69730,LIC,accepted,69730,Peltigera hymenina,Peltigera hymenina
Peltigera leucophlebia,(Nyl.) Gyelnik.,,ruffled freckled pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,leucophlebia,,,,native,S5 (2018),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L3090,,2017-04-02,Andrew Simon,iNat:5551327,,119676,LIC,accepted,119676,Peltigera leucophlebia,Peltigera leucophlebia
Peltigera membranacea,(Ach.) Nyl.,,membranous pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,membranacea,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36200,,2014-09-27,Andrew Simon,iNat:2632382,,117858,LIC,accepted,117858,Peltigera membranacea,Peltigera membranacea
Peltigera neckeri,Hepp ex Müll.Arg.,,black-saddle pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,neckeri,,,,native,S4 (2019),,new 2021,observed,,,,,,2021-06-14,Andrew Simon,iNat:83096618,,69729,LIC,accepted,69729,Peltigera neckeri,Peltigera neckeri
Peltigera neopolydactyla,(Gyeln.) Gyeln.,,undulating pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,neopolydactyla,,,,native,S4S5 (2010),,confirmed,observed,1977-07-24,Teuvo Ahti,UBC,L11168,,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565159,,147374,LIC,accepted,147374,Peltigera neopolydactyla,Peltigera neopolydactyla
Peltigera neopolydactyla s.lat.,(Gyeln.) Gyeln.,,would-be carpet pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,neopolydactyla,,,,native,S4S5 (2010),,new 2016,observed,,,,,,2016-10-07,Andrew Simon,iNat:9280500,,,LIC,accepted,147374,Peltigera neopolydactyla,
Peltigera pacifica,Vitik.,,fringed pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,pacifica,,,,native,S3S4 (2010),,confirmed,observed,1977-07-24,Teuvo Ahti,UBC,L33466,,2017-04-02,Andrew Simon,iNat:5551264,,227392,LIC,accepted,227392,Peltigera pacifica,Peltigera pacifica
Peltigera polydactylon,(Neck.) Hoffm.,,pioneer pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,polydactylon,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-04-20,Andrew Simon,iNat:5885313,,69728,LIC,accepted,69728,Peltigera polydactylon,Peltigera polydactylon
Peltigera rufescens,(Weiss) Humb.,,black-bellied pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,rufescens,,,,native,S5 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35908,,2017-03-25,Andrew Simon,iNat:5471720,,180448,LIC,accepted,180448,Peltigera rufescens,Peltigera rufescens
Peltigera venosa,(L.) Hoffm.,,fan pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Peltigera,venosa,,,,native,S5 (2018),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36176,,,,,,194812,LIC,accepted,194812,Peltigera venosa,Peltigera venosa
Vahliella saubinetii,(Mont.) P.M. Jørg.,,pink-eyed snaps,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Vahliellaceae,,,Vahliella,saubinetii,,,,native,SU (2010),,new 2023,observed,,,,,,2023-06-30,Heather Magusin,iNat:170517295,,532458,LIC,accepted,532458,Vahliella saubinetii,Vahliella saubinetii
Icmadophila ericetorum,(L.) Zahlbr.,,candy lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Icmadophilaceae,,,Icmadophila,ericetorum,,,,native,unlisted,,new 2018,observed,,,,,,2018-11-17,Kevin Toomer,iNat:18458029,,119695,LIC,accepted,119695,Icmadophila ericetorum,Icmadophila ericetorum
Aspicilia sp.,,,cinder lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Megasporaceae,,,Aspicilia,,,,,,,,new 2020,observed,,,,,,2020-11-10,Randal Mindell,iNat:64809482,,175944,LIC,accepted,175944,Aspicilia,Aspicilia
Circinaria caesiocinerea,(Nyl. ex Malbr.) Arnold,,crust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Megasporaceae,,,Circinaria,caesiocinerea,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L36906,,,,,reported as Rinodina caesiocinerea,462704,LIC,accepted,462704,Circinaria caesiocinerea,Circinaria caesiocinerea
Circinaria leprosescens,"(Sandst.) A.Nordin, S.Savić & Tibell",,sunken disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Megasporaceae,,,Circinaria,leprosescens,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35912,,2020-06-10,Andrew Simon,iNat:49195439,reported as Aspicilia leprosescens,462710,LIC,accepted,462710,Circinaria leprosescens,Circinaria leprosescens
Ochrolechia androgyna,(Hoffm.) Arnold.,,powdery saucer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Ochrolechiaceae,,,Ochrolechia,androgyna,,,,native,unlisted,,new 2015,observed,,,,,,2015-03-13,Lauren Magner & Andrew Simon,iNat:2585132,,203835,LIC,accepted,203835,Ochrolechia androgyna,Ochrolechia androgyna
Ochrolechia farinacea,G.E. Howard,,farinose saucer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Ochrolechiaceae,,,Ochrolechia,farinacea,,,,native,unlisted,,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-10-20,Andrew Simon,iNat:5133500,,226111,LIC,accepted,226111,Ochrolechia farinacea,Ochrolechia farinacea
Ochrolechia laevigata,(Rasanen) Verseghy ex Brodo,,smooth saucer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Ochrolechiaceae,,,Ochrolechia,laevigata,,,,native,unlisted,,confirmed,observed,1977-07-24,Teuvo Ahti,UBC,L6878,,2016-10-16,Andrew Simon,iNat:4381767,,179755,LIC,accepted,179755,Ochrolechia laevigata,Ochrolechia laevigata
Ochrolechia oregonensis,H. Magn.,,double-rimmed saucer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Ochrolechiaceae,,,Ochrolechia,oregonensis,,,,native,unlisted,,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36173,,2016-10-13,Sarah Tweedale & Andrew Simon,iNat:4343884,,124442,LIC,accepted,124442,Ochrolechia oregonensis,Ochrolechia oregonensis
Ochrolechia subpallescens,Verseghy.,,saucer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Ochrolechiaceae,,,Ochrolechia,subpallescens,,,,native,unlisted,,new 2016,observed,,,,,,2016-11-03,Andrew Simon,iNat:5133792,,117862,LIC,accepted,117862,Ochrolechia subpallescens,Ochrolechia subpallescens
Ochrolechia upsaliensis,(L.) A. Massal.,,tundra saucer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Ochrolechiaceae,,,Ochrolechia,upsaliensis,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L14343,,2018-03-18,Andrew Simon,iNat:10306015,,226129,LIC,accepted,226129,Ochrolechia upsaliensis,Ochrolechia upsaliensis
Ochrolechia xanthostoma,(Sommerf.) K. Schmitz & Lumbsch,,saucer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Ochrolechiaceae,,,Ochrolechia,xanthostoma,,,,native,SU (2020),,new 2021,observed,,,,,,2021-11-03,Randal Mindell,iNat:100262210,,226130,LIC,accepted,226130,Ochrolechia xanthostoma,Ochrolechia xanthostoma
Lepra amara,(Ach.) Nyl.,,bitter wart lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Pertusariaceae,,,Lepra,amara,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L35940,,2015-03-04,Andrew Simon,iNat:2566370,reported as Pertusaria amara,630835,LIC,accepted,630835,Lepra amara,Lepra amara
Pertusaria stenhammarii,Hellb.,,Stenhammer's wart lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Pertusariaceae,,,Pertusaria,stenhammarii,,,,native,S5 (2020),,new 2021,observed,,,,,,2021-11-03,Randal Mindell,iNat:100262227,,227574,LIC,accepted,227574,Pertusaria stenhammarii,Pertusaria stenhammarii
Pertusaria subambigens,Dibben,,frosted wart lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Pertusariaceae,,,Pertusaria,subambigens,,,,native,unlisted,,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36171,,2017-12-22,Andrew Simon,iNat:9239481,,117882,LIC,accepted,117882,Pertusaria subambigens,Pertusaria subambigens
Rhizocarpon bolanderi,(Tuck.) Herre,,map lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,Rhizocarpaceae,,,Rhizocarpon,bolanderi,,,,native,unlisted,,reported,unobserved,1974-05-28,Willa J. Noble,UBC,L35875,,,,,,229939,LIC,accepted,229939,Rhizocarpon bolanderi,Rhizocarpon bolanderi
Rhizocarpon distinctum,Th. Fr.,,map lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,Rhizocarpaceae,,,Rhizocarpon,distinctum,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L12445,,,,,,229946,LIC,accepted,229946,Rhizocarpon distinctum,Rhizocarpon distinctum
Rhizocarpon obscuratum,(Ach.) A. Massal.,,dusky map lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,Rhizocarpaceae,,,Rhizocarpon,obscuratum,,,,native,unlisted,,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L36221,,,,,,229966,LIC,accepted,229966,Rhizocarpon obscuratum,Rhizocarpon obscuratum
Blastenia ferruginea,(Huds.) Th. Fr.,,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Blastenia,ferruginea,,,,native,unlisted,,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-02-21,Andrew Simon,iNat:5159803,reported as Caloplaca ferruginea (Huds.) Th. Fr.,462481,LIC,accepted,462481,Blastenia ferruginea,Blastenia ferruginea
Calogaya decipiens,"(Arnold) Arup, Frödén & Søchting",,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Calogaya,decipiens,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-25,Andrew Simon,iNat:22642666,,462563,LIC,accepted,462563,Calogaya decipiens,Calogaya decipiens
Caloplaca atroflava,(Turner) Mong.,,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Kuettlingeria,atroflava,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L20695,,,,,,215786,LIC,unaccepted,1285371,Kuettlingeria atroflava,Caloplaca atroflava
Caloplaca californica,Zahlbr.,,Californian firedot,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Caloplaca,californica,,,,native,unlisted,,new 2017,observed,,,,,,2017-05-19,Andrew Simon,iNat:9199333,,215791,LIC,accepted,215791,Caloplaca californica,Caloplaca californica
Flavoplaca citrina,"(Hoffm.) Arup, Frödén & Søchting",,mealy firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Flavoplaca,citrina,,,,native,SU (2020),,new 2017,observed,,,,,,2017-03-25,Andrew Simon,iNat:22597168,,462950,LIC,accepted,462950,Flavoplaca citrina,Flavoplaca citrina
Flavoplaca flavocitrina,"(Hoffm.) Arup, Frödén & Søchting",,mealy firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Flavoplaca,flavocitrina,,,,native,unlisted,,new 2018,observed,,,,,,2018-07-23,Andrew Simon,iNat:14675997,on brick and mortar at post office; collect and confirm,462951,LIC,accepted,462951,Flavoplaca flavocitrina,Flavoplaca flavocitrina
Flavoplaca marina,"(Wedd.) Arup, Frödén & Søchting",,orange sea lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Flavoplaca,marina,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-12,Andrew Simon,iNat:5296400,,462953,LIC,accepted,462953,Flavoplaca marina,Flavoplaca marina
Gyalolechia xanthostigmoidea,"(Räs.) Søchting, Frödén & Arup.",,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Gyalolechia,xanthostigmoidea,,,,native,unlisted,,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2018-08-01,Andrew Simon,iNat:15038971,reported as Caloplaca cf xanthostigmoidea,463077,LIC,accepted,463077,Gyalolechia xanthostigmoidea,Gyalolechia xanthostigmoidea
Leproplaca chrysodeta,(Vain. ex Räsänen) J.R.Laundon,,mustard firedot,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Leproplaca,chrysodeta,,,,native,unlisted,,new 2015,observed,,,,,,2015-02-22,Andrew Simon,iNat:2566221,,463369,LIC,accepted,463369,Leproplaca chrysodeta,Leproplaca chrysodeta
