"","period","cell_id","record_count"
"893","1890-2000",3326,4
"894","1890-2000",3329,4
"895","1890-2000",3330,3
"896","1890-2000",3382,1
"897","1890-2000",3421,3
"898","1890-2000",3424,1
"899","1890-2000",3427,1
"900","1890-2000",3432,4
"901","1890-2000",3438,1
"902","1890-2000",3440,1
"903","1890-2000",3445,7
"904","1890-2000",3498,19
"905","1890-2000",3541,1
"906","1890-2000",3543,1
"907","1890-2000",3544,1
"908","1890-2000",3553,1
"909","1890-2000",3607,2
"910","1890-2000",3662,1
"911","1890-2000",3666,3
"912","1890-2000",3669,8
"913","1890-2000",3765,1
"914","1890-2000",3769,1
"915","1890-2000",3824,3
"916","1890-2000",3827,2
"917","1890-2000",3880,1
"918","1890-2000",3882,1
"919","1890-2000",3883,1
"920","1890-2000",3889,1
"921","1890-2000",3941,1
"922","1890-2000",3983,5
"923","1890-2000",3990,1
"924","1890-2000",3992,1
"925","1890-2000",3996,1
"926","1890-2000",3998,3
"927","1890-2000",4004,10
"928","1890-2000",4005,22
"929","1890-2000",4049,7
"930","1890-2000",4051,11
"931","1890-2000",4054,1
"932","1890-2000",4055,2
"933","1890-2000",4056,7
"934","1890-2000",4057,13
"935","1890-2000",4060,6
"936","1890-2000",4107,1
"937","1890-2000",4111,3
"938","1890-2000",4112,1
"939","1890-2000",4117,1
"940","1890-2000",4155,1
"941","1890-2000",4160,1
"942","1890-2000",4161,8
"943","1890-2000",4163,1
"944","1890-2000",4166,5
"945","1890-2000",4167,3
"946","1890-2000",4168,40
"947","1890-2000",4172,1
"948","1890-2000",4269,2
"949","1890-2000",4274,2
"950","1890-2000",4279,1
"951","1890-2000",4280,2
"952","1890-2000",4281,33
"953","1890-2000",4336,1
"954","1890-2000",4380,4
"955","1890-2000",4387,3
"956","1890-2000",4390,1
"957","1890-2000",4392,13
"958","1890-2010",368,3
"959","1890-2010",369,1
"960","1890-2010",479,1
"961","1890-2010",480,53
"962","1890-2010",482,1
"963","1890-2010",488,22
"964","1890-2010",489,33
"965","1890-2010",536,1
"966","1890-2010",540,2
"967","1890-2010",541,8
"968","1890-2010",542,117
"969","1890-2010",544,5
