"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Origin","Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"644","Usnea wasmuthii","Räsänen",NA,"beard lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Parmeliaceae","Parmelioideae",NA,"Usnea","native","unlisted","new 2015","observed","","","","",NA,"2015-10-01","Andrew Simon","https://www.inaturalist.org/observations/33818262","",233348,"LIC"
"645","Vulpicida canadensis","(Räsänen) J.-E. Mattsson & M. J. Lai",NA,"brown-eyed sunshine","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Parmeliaceae","Parmelioideae",NA,"Vulpicida","native","S5 (2018)","new 2018","observed","","","","",NA,"2018-02-15","Andrew Simon","https://www.inaturalist.org/observations/9875767","",54317,"LIC"
"646","Xanthoparmelia mougeotii","(Schaer.) Hale",NA,"powdered rockfrog","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Parmeliaceae","Parmelioideae",NA,"Xanthoparmelia","native","S3S4 (2018)","reported","unobserved","1974-05-28","Willa J. Noble","UBC","L35892",NA,"","","","",233712,"LIC"
"647","Xanthoparmelia sp.","",NA,"questionable rockfrog","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Parmeliaceae","Parmelioideae",NA,"Xanthoparmelia","native","SU (2010)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L36188",NA,"2015-08-05","Andrew Simon","http://www.inaturalist.org/observations/2599862","",60724,"LIC"
"648","Xanthoparmelia verruculifera","(Nyl.) O. Blanco, A. Crespo, Elix, D. Hawksw. & Lumbsch",NA,"carbuncular toad","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Parmeliaceae","Parmelioideae",NA,"Xanthoparmelia","native","S3S4 (2018)","confirmed","observed","1974-05-24","Willa J. Noble","UBC","L35895",NA,"2015-08-05","Andrew Simon","http://www.inaturalist.org/observations/2599862","Reported as Neofuscelia verruculifera",117849,"LIC"
"649","Micarea micrococca","(Körber) W. Gams ex Coppins",NA,"shadow dot lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Pilocarpaceae","",NA,"Micarea","native","unlisted","new 2015","observed","","","","",NA,"2015-11-05","Andrew Simon","https://www.inaturalist.org/observations/21057023","",463518,"LIC"
"650","Micarea peliocarpa","(Anzi) Coppins",NA,"shadow dot lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Pilocarpaceae","",NA,"Micarea","native","unlisted","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L20474",NA,"2019-04-29","Andrew Simon","https://www.inaturalist.org/observations/24768231","",225038,"LIC"
"651","Psora globifera","(Ach.) A. Massal.",NA,"globe pennies","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Psoraceae","",NA,"Psora","native","S4 (2020)","new 2021","observed","","","","",NA,"2021-05-03","Andrew Simon","https://www.inaturalist.org/observations/83031036","",123509,"LIC"
"652","Bacidia rubella","(Hoffm.) A. Massal.",NA,"frosty-rimmed dot lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Bacidia","native","unlisted","reported","unobserved","1974-05-29","Willa J. Noble","UBC","L48879",NA,"","","","",205562,"LIC"
"653","Cliostomum griffithii","(Sm.) Coppins",NA,"multicolored dot lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Cliostomum","native","unlisted","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L14330",NA,"2016-10-16","Andrew Simon","https://www.inaturalist.org/observations/21055694","",217200,"LIC"
"654","Japewia tornoensis","(Nyl.) Tønsberg",NA,"hidden dot lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Japewia","native","unlisted","reported","unobserved","1974-05-24","Willa J. Noble","UBC","L10949",NA,"","","","",222464,"LIC"
"655","Lecania dudleyi","Herre",NA,"rim lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Lecania","native","unlisted","confirmed","observed","1974-05-29","Willa J. Noble","UBC","L20697",NA,"2020-06-10","Andrew Simon","https://www.inaturalist.org/observations/49193134","",222792,"LIC"
"656","Ramalina cf obtusata","(Arnold) Bitter",NA,"hooded ribbon","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Ramalina","native","S4 (2010)","reported","unobserved","2010-01-26","Terry McIntosh & Curtis Björk","Bryos and Lichens of Mt Sutil Inventory 2010","",NA,"","","","",229770,"LIC"
"657","Ramalina dilacerata","(Hoffm.) Hoffm.",NA,"punctured ribbon","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Ramalina","native","S5 (2018)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L10960",NA,"2017-03-18","Andrew Simon","https://www.inaturalist.org/observations/5392752","",182732,"LIC"
"658","Ramalina farinacea","(L.) Ach.",NA,"farinose cartilage lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Ramalina","native","S5 (2018)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L36198",NA,"2016-05-14","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3296811","",54758,"LIC"
"659","Ramalina menziesii","Taylor.",NA,"canopy fishnet","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Ramalina","native","S3S4 (2010)","new 2017","observed","","","","",NA,"2017-03-18","Andrew Simon","https://www.inaturalist.org/observations/5392773","",49578,"LIC"
"660","Ramalina neopacifica ined.","Hampton-Miller & T. Sprib.",NA,"ribbon lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Ramalina","native","unlisted","reported","unobserved","1974-05-30","Willa J. Noble","UBC","L10956",NA,"","","","Whaler Bay",NA,"LIC"
"661","Ramalina sp.2 sensu Goward 1999","",NA,"maritime bush","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Ramalina","native","unlisted","reported","unobserved","1974-05-31","Willa J. Noble","UBC","L36184",NA,"","","","",48325,"LIC"
"662","Ramalina subleptocarpha","Rundel & Bowler",NA,"continuous ribbon","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Ramalina","native","S3S4 (2018)","new 2020","observed","","","","",NA,"2020-08-15","Andrew Simon","https://www.inaturalist.org/observations/57127989","",203077,"LIC"
"663","Waynea californica","Moberg",NA,"knobbed scale","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramalinaceae","",NA,"Waynea","native","unlisted","reported","unobserved","2010-01-26","Terry McIntosh & Curtis Björk","Bryos and Lichens of Mt Sutil Inventory 2010","",NA,"","","","",194116,"LIC"
"664","Ramboldia gowardiana","(T. Sprib. & M. Hauck) Kalb",NA,"button lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Ramboldiaceae","",NA,"Ramboldia","native","unlisted","reported","unobserved","1974-05-28","Willa J. Noble","UBC","L37595",NA,"","","","",229804,"LIC"
"665","Scoliciosporum umbrinum","(Ach.) Arnold",NA,"umber dot lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Scoliciosporaceae","",NA,"Scoliciosporum","native","unlisted","reported","unobserved","1974-06-01","Willa J. Noble","UBC","L36202",NA,"","","","",230644,"LIC"
"666","Sphaerophorus tuckermanii","Räsänen.",NA,"Tuckerman’s coral lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Sphaerophoraceae","",NA,"Sphaerophorus","native","S4S5 (2018)","confirmed","observed","1974-05-30","Willa J. Noble","UBC","L35934",NA,"2016-11-03","Andrew Simon","http://www.inaturalist.org/observations/4491326","Previously misapplied: Sphaerophorus globiferus (L.) DC. var. gracilis Müll. Arg. = Sphaerophorus globosus (Hudson)",123231,"LIC"
"667","Sphaerophorus venerabilis","Wedin, Högnabba & Goward",NA,"ancient coral lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Sphaerophoraceae","",NA,"Sphaerophorus","native","S4 (2010)","confirmed","observed","1962-06-04","Wilfred B. Schofield","UBC","L8146",NA,"2016-04-01","Andrew Simon","http://www.inaturalist.org/observations/2865613","",155226,"LIC"
"668","Lepraria finkii","(B. de Lesd.) R.C. Harris",NA,"dust lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Stereocaulaceae","",NA,"Lepraria","native","unlisted","new 2017","observed","","","","",NA,"2017-03-14","Andrew Simon","https://www.inaturalist.org/observations/5309680","",463344,"LIC"
"669","Lepraria incana","(L.) Ach.",NA,"dust lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Stereocaulaceae","",NA,"Lepraria","native","unlisted","reported","unobserved","2009-05-16","Kent Brothers","VMS","",NA,"","","","",223257,"LIC"
"670","Lepraria nivalis","J.R. Laundon.",NA,"snowy dust lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Stereocaulaceae","",NA,"Lepraria","native","unlisted","new 2017","observed","","","","",NA,"2017-04-20","Andrew Simon","https://www.inaturalist.org/observations/5886446","",223259,"LIC"
"671","Lepraria subalbicans","(Th. Fr.) Lendemer & Hodkinson",NA,"dust lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Stereocaulaceae","",NA,"Lepraria","native","unlisted","new 2017","observed","","","","",NA,"2017-03-25","Andrew Simon","https://www.inaturalist.org/observations/22642562","",463357,"LIC"
"672","Stereocaulon intermedium","(Savicz) H. Magn.",NA,"Pacific foam","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Stereocaulaceae","",NA,"Stereocaulon","native","S4 (2010)","new 2018","observed","","","","",NA,"2018-03-09","Andrew Simon","https://www.inaturalist.org/observations/10163396","confirm specimens",231701,"LIC"
"673","Stereocaulon tomentosum","Fr.",NA,"eyed foam","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Stereocaulaceae","",NA,"Stereocaulon","native","S5 (2018)","new 2018","observed","","","","",NA,"2018-03-18","Andrew Simon","https://www.inaturalist.org/observations/10306306","confirm specimens",155227,"LIC"
"674","Mycoblastus affinis","(Schaer.) T. Schauer",NA,"white heart lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Tephromelataceae","",NA,"Mycoblastus","native","unlisted","new 2017","observed","","","","",NA,"2017-10-26","Andrew Simon","https://www.inaturalist.org/observations/8594091","",182698,"LIC"
"675","Tephromela atra","(Hudson) Ach.",NA,"black-eye lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Tephromelataceae","",NA,"Tephromela","native","unlisted","confirmed","observed","1974-04-21","Willa J. Noble","UBC","L12431",NA,"2016-09-09","Andrew Simon","http://www.inaturalist.org/observations/4092285","",232383,"LIC"
"676","Bryobilimbia hypnorum","(Lib.) Fryday, Printzen & S. Ekman",NA,"tile lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecideales",NA,NA,"Lecideaceae","",NA,"Bryobilimbia","native","unlisted","reported","unobserved","1974-04-21","Willa J. Noble","UBC","L35661",NA,"","","","Reported as Mycobilimbia hypnorum",462498,"LIC"
"677","Lecidea albofuscescens","Nyl.",NA,"tile lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecideales",NA,NA,"Lecideaceae","",NA,"Lecidea","native","unlisted","reported","unobserved","2010-01-26","Terry McIntosh & Curtis Björk","Bryos and Lichens of Mt Sutil Inventory 2010","",NA,"","","","",222979,"LIC"
"678","Lecidea fuscoatra","(L.) Ach.",NA,"tile lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecideales",NA,NA,"Lecideaceae","",NA,"Lecidea","native","unlisted","new 2017","observed","","","","",NA,"2017-05-19","Andrew Simon","https://www.inaturalist.org/observations/22643567","",154105,"LIC"
"679","Lecidea mannii","Tuck.",NA,"tile lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecideales",NA,NA,"Lecideaceae","",NA,"Lecidea","native","unlisted","reported","unobserved","1974-05-28","Willa J. Noble","UBC","L35896",NA,"","","","",223050,"LIC"
"680","Porpidia crustulata","(Ach.) Hertel & Knoph",NA,"concentric boulder lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecideales",NA,NA,"Lecideaceae","",NA,"Porpidia","native","unlisted","new 2016","observed","","","","",NA,"2016-10-04","Andrew Simon","http://www.inaturalist.org/observations/4282648","",182467,"LIC"
"681","Porpidia soredizodes","(Lamy ex. Nyl.) J. R. Laundon.",NA,"boulder lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecideales",NA,NA,"Lecideaceae","",NA,"Porpidia","native","unlisted","reported","unobserved","1974-06-01","Willa J. Noble","UBC","L20706",NA,"","","","Alnus rubra thicket, disturbed right of way; hydroline Montague Rd.",228670,"LIC"
"682","Ephebe lanata","(L.) Vain.",NA,"waterside rockshag","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lichinales",NA,NA,"Lichinaceae","",NA,"Ephebe","native","S4 (2019)","reported","unobserved","1962-06-04","Wilfred B. Schofield","UBC","L3830",NA,"","","","",219260,"LIC"
"683","Diploschistes scruposus","(Schreber) Norman",NA,"crater lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Ostropales",NA,NA,"Graphidaceae","",NA,"Diploschistes","native","unlisted","confirmed","observed","1974-05-29","Willa J. Noble","UBC","L10946",NA,"2015-09-27","Andrew Simon","http://www.inaturalist.org/observations/2632562","",117945,"LIC"
"684","Graphis scripta","(L.) Ach.",NA,"common script lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Ostropales",NA,NA,"Graphidaceae","",NA,"Graphis","native","unlisted","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L10984",NA,"2017-02-16","Andrew Simon","https://www.inaturalist.org/observations/5122044","",117987,"LIC"
"685","Thelotrema lepadinum","(Ach.) Ach.",NA,"bark barnacles","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Ostropales",NA,NA,"Graphidaceae","",NA,"Thelotrema","native","unlisted","confirmed","observed","1974-05-30","Willa J. Noble","UBC","L12449",NA,"2018-01-14","Andrew Simon","https://www.inaturalist.org/observations/9479483","",129667,"LIC"
"686","Phlyctis argena","(Ach.) Flot.",NA,"whitewash lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Ostropales",NA,NA,"Phlyctidaceae","",NA,"Phlyctis","native","unlisted","new 2016","observed","","","","",NA,"2016-10-20","Andrew Simon","http://www.inaturalist.org/observations/4425644","",182631,"LIC"
"687","Stictis radiata","(L.) Pers.",NA,"","Fungi","Ascomycota","",NA,"Lecanoromycetes","",NA,"Ostropales",NA,NA,"Stictidaceae","",NA,"Stictis","","","confirmed","observed","2016-05-21","Kent Brothers","VMS","",NA,"2017-12-31","Andrew Simon","https://www.inaturalist.org/observations/9329564","",352459,"LIC"
"688","Blennothallia fecunda","(Degel.) Otálora, P. M. Jørg. & Wedin",NA,"seaside tarpaper","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Blennothallia","native","S3S4 (2019)","confirmed","observed","1974-06-01","Willa J. Noble","UBC","L10380",NA,"2020-04-10","Andrew Simon","https://www.inaturalist.org/observations/41881726","Reported as Collema fecundum",462484,"LIC"
"689","Collema furfuraceum","(Arnold) Du Rietz.",NA,"effervescent tarpaper lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Collema","native","S3S4 (2010)","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L14329",NA,"2016-10-16","Andrew Simon","http://www.inaturalist.org/observations/4381558","",117947,"LIC"
"690","Collema nigrescens","(Hudson) DC.",NA,"blistered jelly lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Collema","native","S4 (2010)","confirmed","observed","1974-05-29","Willa J. Noble","UBC","L14342",NA,"2016-11-03","Andrew Simon","http://www.inaturalist.org/observations/4491315","",217428,"LIC"
"691","Collema subflaccidum","Degel.",NA,"wilted tarpaper","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Collema","native","S4 (2010)","confirmed","observed","2010-01-26","Terry McIntosh","UBC","L51101",NA,"2016-12-04","Andrew Simon","https://www.inaturalist.org/observations/4715745","Reported as Collema flaccidum by Terry McIntosh but as Collema subflaccidum by Curtis Björk",182552,"LIC"
"692","Enchylium tenax","(Sw.) Gray",NA,"tarred tarpaper","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Enchylium","native","SU (2019)","new 2021","observed","","","","",NA,"2021-05-03","Andrew Simon","https://www.inaturalist.org/observations/83031003","",462865,"LIC"
"693","Lathagrium cristatum","(L.) Otálora, P.M. Jørg. & Wedin.",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Lathagrium","native","unlisted","new 2021","observed","","","","",NA,"2021-05-03","Andrew Simon","https://www.inaturalist.org/observations/83031022","",463177,"LIC"
"694","Lathagrium fuscovirens","(With.) Otálora, P.M. Jørg. & Wedin",NA,"cellulitic tarpaper","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Lathagrium","native","S5 (2019)","new 2020","observed","","","","",NA,"2020-11-10","Kevin Toomer","https://www.inaturalist.org/observations/64809569","",463179,"LIC"
"695","Leptogium pseudofurfuraceum","P.M. Jørg. & Wallace",NA,"concentric vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Leptogium","native","S4 (2019)","new 2017","observed","","","","",NA,"2017-03-30","Andrew Simon","https://www.inaturalist.org/observations/5516443","",223476,"LIC"
"696","Scytinium cf turgidum","(Ach.) Otálora, P.M. Jørg. & Wedin",NA,"turgid vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","unlisted","reported","unobserved","2010-01-26","Terry McIntosh & Curtis Björk","Bryos and Lichens of Mt Sutil Inventory 2010","",NA,"","","","Reported as Leptogium cf turgidum",532320,"LIC"
"697","Scytinium gelatinosum","(With.) Otálora, P.M. Jørg. & Wedin",NA,"ageing vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","S5 (2018)","new 2017","observed","","","","",NA,"2017-03-25","Andrew Simon","https://www.inaturalist.org/observations/5483258","Reported as Leptogium gelatinosum",526716,"LIC"
"698","Scytinium lichenoides","(L.) Otálora, P.M. Jørg. & Wedin",NA,"tattered vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","S5 (2018)","confirmed","observed","1974-04-21","Willa J. Noble","UBC","L35659",NA,"2016-10-23","Andrew Simon","http://www.inaturalist.org/observations/4425700","Reported as Leptogium lichenoides",526717,"LIC"
"699","Scytinium palmatum","(Huds.) Gray",NA,"horned vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","S5 (2018)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L37602",NA,"2015-10-08","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2647353","Reported as Leptogium palmatum",532308,"LIC"
"700","Scytinium platynum","(Tuck.) Otálora, P.M. Jørg. & Wedin",NA,"batwing vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","S3S4 (2018); Endangered (SARA)","new 2013","observed","","","","",NA,"2013-03-22","Ryan Batten","https://www.inaturalist.org/observations/9142162","Reported as Leptogium platynum",532310,"LIC"
"701","Scytinium plicatile","(Ach.) Otálora, P.M. Jørg. & Wedin",NA,"seastar vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","S4 (2018)","new 2013","observed","","","","",NA,"2013-03-22","Ryan Batten","https://www.inaturalist.org/observations/9142618","Reported as Leptogium plicatile",532311,"LIC"
"702","Scytinium polycarpum","(P.M. Jørg. & Goward) Otálora, P.M. Jørg. & Wedin",NA,"peacock vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","S4 (2018); Species of Special Concern (SARA)","new 2016","observed","","","","",NA,"2016-03-10","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2767527","Reported as Leptogium polycarpum",532312,"LIC"
"703","Scytinium rivale","(Tuck.) Otálora, P.M. Jørg. & Wedin",NA,"creekbed vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","SNR (2010)","reported","unobserved","1974-05-30","Willa J. Noble","UBC","L35921",NA,"","","","Reported as Leptogium rivale; look at Whaler Bay",1032757,"LIC"
"704","Scytinium subaridum","(P.M. Jørg. & Goward) Otálora, P.M. Jørg. & Wedin",NA,"rancher's vinyl","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Collemataceae","",NA,"Scytinium","native","S4 (2019)","new 2021","observed","","","","",NA,"2021-05-01","Andrew Simon","https://www.inaturalist.org/observations/83017059","",532316,"LIC"
"705","Lobaria anomala","(Brodo & Ahti) T. Sprib. & McCune.",NA,"netted specklebelly","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Lobariaceae","",NA,"Lobaria","native","S3S4 (2010)","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L14335",NA,"2018-03-18","Andrew Simon","https://www.inaturalist.org/observations/10306713","Reported as Pseudocyphellaria anomala",463448,"LIC"
"706","Lobaria pulmonaria","(L.) Hoffm.",NA,"lungwort","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Lobariaceae","",NA,"Lobaria","native","S5 (2010)","confirmed","observed","1974-05-29","Willa J. Noble","UBC","L14341",NA,"2015-02-12","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2565168","",48711,"LIC"
"707","Lobaria scrobiculata","(Scop.) DC.",NA,"textured lung","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Lobariaceae","",NA,"Lobaria","native","S4 (2010)","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L14333",NA,"2016-12-04","Andrew Simon","http://www.inaturalist.org/observations/4716501","",117850,"LIC"
"708","Sticta limbata","(Sm.) Ach.",NA,"powdered moon lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Lobariaceae","",NA,"Sticta","native","S3S4 (2010)","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L14328",NA,"2018-03-18","Andrew Simon","https://www.inaturalist.org/observations/10306665","",117888,"LIC"
"709","Sticta sp.nov. (fide Goward 2021)","(Dicks.) Ach.",NA,"peppered moon lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Lobariaceae","",NA,"Sticta","native","S4 (2010)","confirmed","observed","1974-05-29","Willa J. Noble","UBC","L14339",NA,"2016-10-20","Andrew Simon","http://www.inaturalist.org/observations/4425658","",117889,"LIC"
"710","Leptochidium albociliatum","(Desmaz.) Choisy.",NA,"whiskered codger","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Peltigerales",NA,NA,"Massalongiaceae","",NA,"Leptochidium","native","S3S4 (2010)","new 2017","observed","","","","",NA,"2017-03-25","Andrew Simon","https://www.inaturalist.org/observations/5471413","",223432,"LIC"
