"","Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Origin","Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"838","Muscari armeniacum","Leichtlin","","Armenian grape hyacinth","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Asparagaceae","Scilloideae","","Muscari","exotic","SNA","new 2015","observed","","","","",NA,"2015-03-13","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2580263","",50921,"VAS"
"839","Mycelis muralis","(L. Dumort.","","wall lettuce","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Cichorioideae","","Mycelis","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-03-04","Andrew Simon","http://www.inaturalist.org/observations/2566554","",48543,"VAS"
"840","Myosotis arvensis","(L.) Hill","","field forget-me-not","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Cynoglossoideae","","Myosotis","exotic","SNA","confirmed","observed","1975-07-14","Angela Wood","RBCM","V097757",1949546744,"2017-05-28","Andrew Simon","https://www.inaturalist.org/observations/6409658","",51726,"VAS"
"841","Myosotis discolor","Pers.","","common forget-me-not","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Cynoglossoideae","","Myosotis","exotic","SNA","confirmed","observed","1975-06-03","Angela Wood","RBCM","V097402",1949546627,"2015-04-21","Andrew Simon","http://www.inaturalist.org/observations/2567285","",70265,"VAS"
"842","Myosotis laxa","Lehm.","","small-flowered forget-me-not","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Cynoglossoideae","","Myosotis","native","S5","confirmed","observed","1975-05-25","Angela Wood","RBCM","V097681",1949546577,"2015-05-28","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2625785","",78150,"VAS"
"843","Myosotis scorpioides","L.","","European forget-me-not","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Cynoglossoideae","","Myosotis","exotic","SNA","confirmed","observed","1975-06-12","Angela Wood","RBCM","V097256",1949546132,"2021-06-04","Kristian Sigvardsen","https://www.inaturalist.org/observations/81637533","Reeces’ field; wet shore of lake; 48.933333°, -123.45°",49130,"VAS"
"844","Myosotis sylvatica","Ehrh. ex Hoffm.","","wood forget-me-not","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Cynoglossoideae","","Myosotis","exotic","SNA","confirmed","observed","1975-05-14","Angela Wood","RBCM","V097338",1949546343,"2017-04-09","Andrew Simon","https://www.inaturalist.org/observations/5635307","Angela Wood reports M. s.var. alpestris, which is likely misapplied to M. sylvatica; not a valid infraspecific taxon; this species is not recognized by the province according to the BC Ecosystem Explorer; check specimen; couldn't find the specimen! (AS)",55826,"VAS"
"845","Myosurus minimus","L.","","tiny mousetail","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales",NA,NA,"Ranunculaceae","","","Myosurus","native","S4S5","reported","unobserved","2014-05-13","Frank Lomer","UBC","V241914",NA,"","","","collected in ruderal area. Possible adventive? –QC ; Montague; near picnic tables;Wet grassy area, too wet yet to cut; growing with Juncus bufonius, Montia fontana, Poa annua, Plantago elongata.",58306,"VAS"
"846","Myriophyllum sp.","","","milfoil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Saxifragales",NA,NA,"Haloragaceae","","","Myriophyllum","exotic","","new 2019","observed","","","","",NA,"2019-05-04","Andrew Simon","https://www.inaturalist.org/observations/24653214","",60207,"VAS"
"847","Myriophyllum spicatum","L.","","Eurasian water-milfoil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Saxifragales",NA,NA,"Haloragaceae","","","Myriophyllum","exotic","SNA","reported","unobserved","1979-08-15","Harvey Janszen","RBCM","V097859",1949546890,"","","","Bog + Sturdies Bay farm lake;48.879167°, -123.31944°",78157,"VAS"
"848","Narcissus poeticus","L.","","poet's narcissus","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Amaryllidaceae","Amaryllidoideae","Narcisseae","Narcissus","","","new 2019","observed","","","","",NA,"2019-05-04","Katie Kushneryk","https://www.inaturalist.org/observations/24713792","",61334,"VAS"
"849","Narcissus pseudonarcissus","L.","","daffodil","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Amaryllidaceae","Amaryllidoideae","","Narcissus","exotic","SNA","confirmed","observed","2012-04-21","Terry Taylor","Vascular Plants Seen on Galiano Island","",NA,"2015-02-22","Andrew Simon","http://www.inaturalist.org/observations/2566214","Our naturalized daffodils are more likely a hybrid as the pure species is rarely grown. However in practical terms I think this is the best available name for the cultivated daffodil (and the photo actually looks not unlike pure N. pseudonarcissus). –QC",55848,"VAS"
"850","Nasturtium officinale","R. Br.","","common watercress","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Brassicales",NA,NA,"Brassicaceae","","","Nasturtium","exotic","SNA","confirmed","observed","1979-06-08","Harvey Janszen","RBCM","V122413",1949571512,"2016-03-21","Sarah Tweedale","http://inaturalist.ca/observations/2817044","reported as Nasturtium microphyllum(V122413)",78174,"VAS"
"851","Navarretia squarrosa","(Eschsch.) Hook. & Arn.","","skunkweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Ericales",NA,NA,"Polemoniaceae","","","Navarretia","native","S4S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-06-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2564155","",53157,"VAS"
"852","Nemophila parviflora","Douglas ex Benth.","","small-flowered woodland-lover","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Hydrophylloideae","","Nemophila","native","","confirmed","observed","1986-08-17","William J. Crins","UBC","V190911",NA,"2015-04-21","Andrew Simon","http://www.inaturalist.org/observations/2567255","",57353,"VAS"
"853","Nemophila pedunculata","Douglas ex Benth.","","meadow nemophila","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Hydrophylloideae","","Nemophila","native","S4?","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2018-04-13","Andrew Simon","https://www.inaturalist.org/observations/10887673","",55461,"VAS"
"854","Neottia cordata","(L.) Rich.","","heart-leaved twayblade","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Epidendroideae","","Neottia","native","S5","confirmed","observed","1974-04-21","Wilfred B. Schofield","UBC","V156681",NA,"2017-05-28","Andrew Simon","https://www.inaturalist.org/observations/6409668","Neottia borealisshould also be sought on higher elevation north slopes (HJ)",204364,"VAS"
"855","Nuphar polysepala","Engelm.","","Rocky Mountain pond-lily","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Nymphaeales",NA,NA,"Nymphaeaceae","","","Nuphar","native","S5","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3296086","",78234,"VAS"
"856","Nuttallanthus texanus","(Scheele) D.A. Sutton","","Texas toadflax","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Plantaginaceae","","","Nuttallanthus","native","S3","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","Reported as Linaria canadensisvar. texana",78235,"VAS"
"857","Oemleria cerasiformis","(Torr. & A. Gray ex Hook. & Arn.) J.W. Landon","","osoberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Rosaceae","","","Oemleria","native","S5","confirmed","observed","1989-04-06","Gerald B. Straley","UBC","V197708",NA,"2016-02-16","Andrew Simon","http://www.inaturalist.org/observations/2692194","",53419,"VAS"
"858","Oenanthe sarmentosa","C. Presl ex DC.","","Pacific water-parsley","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Apiales",NA,NA,"Apiaceae","","","Oenanthe","native","S5","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2015-02-22","Andrew Simon","http://www.inaturalist.org/observations/2566272","",60127,"VAS"
"859","Oenothera biennis","L.","","common evening-primrose","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Myrtales",NA,NA,"Onagraceae","","","Oenothera","exotic","SNA","new 2018","observed","","","","",NA,"2018-08-17","Andrew Simon","https://www.inaturalist.org/observations/15604522","",62207,"VAS"
"860","Opuntia fragilis","(Nutt.) Haw.","","brittle prickly-pear cactus","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Cactaceae","Opuntioideae","","Opuntia","native","S5","new 2013","observed","","","","",NA,"2013-04-08","Felix Erhard","http://www.inaturalist.org/observations/2583398","",62474,"VAS"
"861","Origanum vulgare","L.","","oregano","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Lamiales",NA,NA,"Lamiaceae","Nepetoideae","Mentheae","Origanum","","","new 2020","observed","","","","",NA,"2020-04-26","Kristian Sigvardsen","https://www.inaturalist.org/observations/43742992","",61396,"VAS"
"862","Ornithogalum umbellatum","L.","","star-of-Bethlehem","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Asparagaceae","Scilloideae","","Ornithogalum","exotic","SNA","new 2017","observed","","","","",NA,"2017-05-27","Alexander J. Wright","https://www.inaturalist.org/observations/6411952","""Naturalized in the UK and could be expected to naturalize here. It is cytologically variable - there are triploids and hexaploids. It would be interesting to know what this is."" QC",56137,"VAS"
"863","Osmorhiza berteroi","DC.","","mountain sweet-cicely","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Apiales",NA,NA,"Apiaceae","","","Osmorhiza","native","S5","confirmed","observed","1986-08-16","William J. Crins","UBC","V197708",NA,"2016-05-03","Andrew Simon","http://www.inaturalist.org/observations/3093492","Reported as O. chilensis",53166,"VAS"
"864","Oxalis corniculata","L.","","creeping woodsorrel","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","","","Oxalidales",NA,NA,"Oxalidaceae","","","Oxalis","","","new 2020","observed","","","","",NA,"2020-05-19","Andrew Simon","https://www.inaturalist.org/observations/46518419","",53168,"VAS"
"865","Panicum capillare","L.","","common witchgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Panicoideae","","Panicum","native","S5","new 2019","observed","","","","",NA,"2019-08-11","Andrew Simon","https://www.inaturalist.org/observations/30789993","",78337,"VAS"
"866","Papaver somniferum","L.","","opium poppy","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales",NA,NA,"Papaveraceae","","","Papaver","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2018-06-11","Andrew Simon","https://www.inaturalist.org/observations/14282411","persistent adventive",78346,"VAS"
"867","Paxistima myrsinites","(Pursh) Raf.","","falsebox","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Celastrales",NA,NA,"Celastraceae","","","Paxistima","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-02-15","Andrew Simon","http://www.inaturalist.org/observations/2561669","",63893,"VAS"
"868","Pentagramma triangularis ssp. triangularis","(Kaulf.) Yatsk.","","goldenback fern","Plantae","Pteridophyta","",NA,"Polypodiopsida","Polypodiidae","","Polypodiales",NA,NA,"Pteridaceae","Cheilanthoideae","","Pentagramma","native","S5","confirmed","observed","1961-05-08","J. A. Calder","UBC","V103246",NA,"2015-03-13","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2589088","",52676,"VAS"
"869","Perideridia montana","(Blank.) Dorn","","common yampah","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Apiales",NA,NA,"Apiaceae","","","Perideridia","native","S5","reported","unobserved","1989-08-22","Gerald B. Straley","UBC","V200558",NA,"","","","Matt Fairbarns (2016) reports P. montana; Gerald B. Straley P. gairdneri",78434,"VAS"
"870","Persicaria amphibia","L. (Gray)","","water smartweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Polygonaceae","","","Persicaria","native","S5","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2018-07-08","Kevin Toomer & Andrew Simon","https://www.inaturalist.org/observations/14186141","Reported as Polygonum amphibium",78450,"VAS"
"871","Persicaria maculosa","L.","","lady's-thumb","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales",NA,NA,"Polygonaceae","","","Persicaria","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2018-07-08","Christopher Heffley","https://www.inaturalist.org/observations/14191583","Reported as Polygonum persicaria",56166,"VAS"
"872","Petasites frigidus var. palmatus","Macoun","(Aiton) Cronquist","sweet coltsfoot","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Asteroideae","","Petasites","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2019-04-14","Jean Buchanan","https://www.inaturalist.org/observations/23075792","",55778,"VAS"
"873","Petasites japonicus","(Siebold & Zucc.) Maxim.","","Japanese butterbur","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Asteroideae","","Petasites","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2019-08-19","Caitlin Robinson","https://www.inaturalist.org/observations/31535496","",129038,"VAS"
"874","Petrosedum forsterianum","(Smith) Grulich","","rock stonecrop","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Crassulaceae","","","Petrosedum","exotic","SNA","new 2015","observed","","","","",NA,"2013-08-30","Felix Erhard","http://www.inaturalist.org/observations/2583337","",168735,"VAS"
"875","Petrosedum rupestre","(L.) P. V. Heath","","crooked yellow stonecrop","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Crassulaceae","","","Petrosedum","exotic","SNA","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","reported as Sedum reflexum;ruderal",734805,"VAS"
"876","Petroselinum crispum","(Mill.) Nyman ex A.W. Hill","","garden parsley","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Apiales",NA,NA,"Apiaceae","","","Petroselinum","exotic","SNA","confirmed","observed","2014-05-13","Frank Lomer","UBC","V241923",NA,"2019-06-03","Andrew Simon","https://www.inaturalist.org/observations/26372173","",78465,"VAS"
"877","Phacelia linearis","(Pursh) Holz.","","thread-leaved phacelia","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Hydrophylloideae","","Phacelia","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2017-05-13","Andrew Simon","https://www.inaturalist.org/observations/6217942","",78499,"VAS"
"878","Phacelia tanacetifolia","Benth.","","lacy phacelia","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Hydrophylloideae","","Phacelia","native","","reported","unobserved","1987-07-08","Gerald B. Straley","UBC","V193704",NA,"","","","garden escape –QC; retained only because there is a collection; not recognizes by Province; but recognizes by FPNW2",58185,"VAS"
"879","Phalaris arundinacea","L.","","reed canarygrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Phalaris","exotic","SNA","confirmed","observed","1975-07-18","Harvey Janszen","RBCM","V097098",1949546205,"2016-06-05","Andrew Simon","http://www.inaturalist.org/observations/3414639","",63337,"VAS"
"880","Phalaris canariensis","L.","","canarygrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Phalaris","exotic","SNA","new 2016","observed","","","","",NA,"2016-06-11","Sarah Tweedale","http://inaturalist.ca/observations/3445137","",57191,"VAS"
"881","Philadelphus lewisii","Pursh","","mock-orange","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Cornales",NA,NA,"Hydrangeaceae","","","Philadelphus","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-07-15","Adam Huggins","http://www.inaturalist.org/observations/3684435","",62223,"VAS"
"882","Phleum pratense","L.","","common timothy","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Phleum","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2018-07-04","Andrew Simon","https://www.inaturalist.org/observations/14247652","Cupples farm, pastures, left-over from hay",57190,"VAS"
"883","Phragmites australis ssp. americanus","(Cav.) Trin. ex Steud.","Saltonstall, P.M. Peterson & Soreng","American reedgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Arundinoideae","","Phragmites","native","S5","reported","unobserved","1975-07-24","Angela Wood","RBCM","V097666",1949546592,"","","","confirmed based on DNA analysis",205873,"VAS"
"884","Phragmites australis ssp. australis","(Cav.) Trin. ex Steud.","","common reed","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Arundinoideae","","Phragmites","exotic","SNA","reported","unobserved","1981-07-16","Harvey Janszen","RBCM","V113795",1949562830,"","","","could not be confirmed based on DNA analysis; morphologically indeterminate (most traits intermediate, some suggest the introduced ssp.) –AS, HJ",556361,"VAS"
"885","Physocarpus capitatus","(Pursh) Kuntze","","Pacific ninebark","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Rosanae","Rosales",NA,NA,"Rosaceae","","","Physocarpus","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-03-13","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2585030","",57249,"VAS"
"886","Picea sitchensis","(Bong.) Carrière","","Sitka spruce","Plantae","Tracheophyta","",NA,"Pinopsida","","","Pinales",NA,NA,"Pinaceae","","","Picea","","","new 2020","observed","","","","",NA,"2020-07-13","Andrew Simon","https://www.inaturalist.org/observations/53064730","",68131,"VAS"
"887","Pilosella aurantiaca","(L.) F. W. Schultz & Sch. Bip.","","orange-red king devil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Asterales",NA,NA,"Asteraceae","Cichorioideae","","Pilosella","exotic","SNA","new 2016","observed","","","","",NA,"2016-08-10","Adam Huggins","http://www.inaturalist.org/observations/3855802","",711103,"VAS"
"888","Pinus contorta ssp. contorta","Douglas ex Loudon","","shore pine","Plantae","Pinophyta","",NA,"Pinopsida","Pinidae","","Pinales",NA,NA,"Pinaceae","","","Pinus","native","S5","new 2015","observed","","","","",NA,"2015-06-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2564090","",80130,"VAS"
"889","Pinus monticola","Douglas ex D. Don","","western white pine","Plantae","Pinophyta","",NA,"Pinopsida","Pinidae","","Pinales",NA,NA,"Pinaceae","","","Pinus","native","S4","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2016-01-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2615114","",68084,"VAS"
"890","Pinus ponderosa var. ponderosa","Douglas ex P. Lawson & C. Lawson","","ponderosa pine","Plantae","Pinophyta","",NA,"Pinopsida","Pinidae","","Pinales",NA,NA,"Pinaceae","","","Pinus","native","S4S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-06-27","Andrew Simon","http://www.inaturalist.org/observations/3540246","",48461,"VAS"
"891","Plagiobothrys tenellus","(C.A. Mey. ex Ledeb.) A. Gray","","slender popcornflower","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Boraginales",NA,NA,"Boraginaceae","Boraginoidea","","Plagiobothrys","native","S1?","reported","unobserved","1980-04-11","Harvey Janszen","RBCM","V107519",1949556259,"","","","easily overlooked but potentially very rare and possibly extinct –QC; open bluffs",58066,"VAS"
"892","Plantago elongata","Pursh (unresolved)","","slender plantain","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Plantaginaceae","","","Plantago","native","S5","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",58229,"VAS"
"893","Plantago lanceolata","L.","","ribwort plantain","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Plantaginaceae","","","Plantago","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2013-04-21","Felix Erhard","http://www.inaturalist.org/observations/2588463","",53178,"VAS"
"894","Plantago major","L.","","common plantain","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Plantaginaceae","","","Plantago","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-07-14","Andrew Simon","http://www.inaturalist.org/observations/3681013","",58961,"VAS"
"895","Plantago maritima","L.","(Lam.) A. Gray","sea plantain","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Lamiales",NA,NA,"Plantaginaceae","","","Plantago","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-05-10","Andrew Simon","http://www.inaturalist.org/observations/3310939","",67812,"VAS"
"896","Platanthera elongata","(Rydb.) R.M. Bateman","","tall rein orchid","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Orchidoideae","","Platanthera","native","S3S4","confirmed","observed","1975-07-24","Harvey Janszen","RBCM","V083298",1949532185,"2015-07-08","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2563293","annotated as Piperia elegans by Heather Stewart Nov. 1999; later annotated P. elongata by Robert K. Lauri Nov. 1, 2010; this is incorrectly labelled as P. elegans on GBIF (1949532185)",50729,"VAS"
"897","Platanthera ephemerantha","R.M.Bateman","","whiteflower rein orchid","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Orchidoideae","Orchideae","Platanthera","","","new 2021","observed","","","","",NA,"2021-06-25","Caitlin Robinson & Andrew Simon","https://www.inaturalist.org/observations/84513004","",473217,"VAS"
"898","Platanthera transversa","(Suksd.) R.M. Bateman","","royal rein orchid","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Orchidoideae","","Platanthera","native","S3S4","new 2015","observed","","","","",NA,"2015-07-02","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2561626","",50733,"VAS"
"899","Platanthera unalascensis","(Spreng.) Kurtz.","","Alaska rein orchid","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Asparagales",NA,NA,"Orchidaceae","Orchidoideae","","Platanthera","native","S5","confirmed","observed","1981-07-07","Harvey Janszen","RBCM","V113772",1949562893,"2021-06-19","Audrey Irvine-Broque","https://www.inaturalist.org/observations/85091348","Stockade Hill; dry ridge",50734,"VAS"
"900","Plectritis congesta ssp. brachystemon","(Lindl.) DC.","(Fisch. & C.A. Mey.) Morey","sea blush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Dipsacales",NA,NA,"Caprifoliaceae","Valerianoideae","","Plectritis","native","S5","new 2016","observed","","","","",NA,"2016-05-03","Andrew Simon","http://www.inaturalist.org/observations/3094142","",57787,"VAS"
"901","Plectritis congesta var. congesta","(Lindl.) DC.","","sea blush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Dipsacales",NA,NA,"Caprifoliaceae","Valerianoideae","","Plectritis","native","S5","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-02-11","Chessi Miltner","http://www.inaturalist.org/observations/2670598","",57786,"VAS"
"902","Plectritis macrocera","Torr. & A. Gray","(L.) S.F.Blake","long-spurred plectritis","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","Magnoliidae","Asteranae","Dipsacales",NA,NA,"Caprifoliaceae","Valerianoideae","","Plectritis","native","S4","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","abundant on Bodega Ridge May 13, 2004",57287,"VAS"
"903","Poa annua","L.","","annual bluegrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Poa","exotic","SNA","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2017-04-20","Andrew Simon","https://www.inaturalist.org/observations/5886024","",52808,"VAS"
"904","Poa bulbosa","L.","","bulbous bluegrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Poa","exotic","SNA","confirmed","observed","","Kent Brothers","VMS Private List","",NA,"2016-05-10","Andrew Simon","http://www.inaturalist.org/observations/3311046","",58382,"VAS"
"905","Poa compressa","L.","","Canada bluegrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Poa","exotic","SNA","reported","unobserved","1979-06-28","Harvey Janszen","RBCM","V097865",1949546886,"","","","",78636,"VAS"
"906","Poa howellii","Vasey & Scribn.","","Howell's bluegrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","","","Poales",NA,NA,"Poaceae","Pooideae","","Poa","native","S4","reported","unobserved","1975-05-31","Angela Wood","RBCM","V097394",1949546605,"","","","west of MaryAnne Point Rd; Fd rocky bluff slope",52812,"VAS"
