Taxon,Referred iNaturalist Name,Referred iNaturalist Id,Indexed iNaturalist Name,ID,Corrected.ID,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Salix prolixa,Salix prolixa,78952,Salix amygdaloides,54842,78952,Andersson,,Mackenzie willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malpighiales,,,Salicaceae,,,Salix,prolixa,,,,native,S5,,reported,unobserved,1978-01-01,Christopher Clement,RBCM,V147384,1949596449,,,,incorrectly identified and accessioned as Salix amygdaloides,54842,VAS,accepted,78952,Salix prolixa,Salix amygdaloides
Salix scouleriana,Salix scouleriana,71076,Salix scouleriana,71076,71076,Barratt ex Hook.,,Scouler's willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malpighiales,,,Salicaceae,,,Salix,scouleriana,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,,2015-02-12,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2565085,,71076,VAS,accepted,71076,Salix scouleriana,Salix scouleriana
Salix sitchensis,Salix sitchensis,61100,Salix sitchensis,61100,61100,Sanson ex Bong.,,Sitka willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malpighiales,,,Salicaceae,,,Salix,sitchensis,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3414591,"""The SGI have a very distinctive morphotype ofS. scouleriana that has a unique haplotype, small leaves and is very drought tolerant"" (QC).",61100,VAS,accepted,61100,Salix sitchensis,Salix sitchensis
Sambucus cerulea,Sambucus cerulea,143799,Sambucus cerulea,143799,143799,Raf.,,blue elder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Dipsacales,,,Viburnaceae,,,Sambucus,cerulea,,,,native,S5 (2019),,new 2022,observed,,,,,,2022-08-08,Adam Huggins,https://www.inaturalist.org/observations/130079604,,143799,VAS,accepted,143799,Sambucus cerulea,Sambucus cerulea
Sambucus racemosa var. arborescens,Sambucus racemosa arborescens,543175,Sambucus racemosa,57824,543175,L.,(Torr. & Gray) Gray,coastal red elderberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Dipsacales,,,Adoxaceae,,,Sambucus,racemosa,,,arborescens,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-04-04,Andrew Simon,http://www.inaturalist.org/observations/2567739,,57824,VAS,accepted,543175,Sambucus racemosa arborescens,Sambucus racemosa
Sanguisorba minor,Sanguisorba minor,55736,Sanguisorba minor,55736,55736,Scop.,,blue elderberry??,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Sanguisorba,minor,,,,exotic,unlisted,,reported,unobserved,2003-05-01,Frank Lomer,UBC,V231297,,,,,"south of Montague Harbour, 524 Clanton Road; Roadside shoulder near creek, with Plantago lanceolata. Introduced weed; reported as Sanguisorba minor ssp. muricata",55736,VAS,unaccepted,55736,Sanguisorba minor,Sanguisorba minor
Sanicula bipinnatifida,Sanicula bipinnatifida,56840,Sanicula bipinnatifida,56840,56840,Douglas,,purple sanicle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Sanicula,bipinnatifida,,,,native,S2 (2019),1-T (2003),reported,unobserved,1993-04-26,Hans Roemer,BC Ecosystem Explorer,,,,,,,56840,VAS,accepted,56840,Sanicula bipinnatifida,Sanicula bipinnatifida
Sanicula crassicaulis var. crassicaulis,Sanicula crassicaulis crassicaulis,68470,Sanicula crassicaulis,53201,68470,Poepp. ex DC.,,Pacific sanicle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-02-22,Andrew Simon,http://www.inaturalist.org/observations/2566218,,53201,VAS,accepted,68470,Sanicula crassicaulis crassicaulis,Sanicula crassicaulis
Sanicula crassicaulis var. tripartita,Sanicula crassicaulis tripartita,68471,Sanicula crassicaulis tripartita,68471,68471,Poepp. ex DC.,(Suksd.) H. Wolff,three-parted Pacific sanicle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,,,tripartita,native,S4,,new 2017,observed,,,,,,2016-05-06,Andrew Simon,http://www.inaturalist.org/observations/3116731,,68471,VAS,accepted,68471,Sanicula crassicaulis tripartita,Sanicula crassicaulis tripartita
Sanicula graveolens,Sanicula graveolens,78979,Sanicula graveolens,78979,78979,Poepp. ex DC.,,Sierra sanicle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,graveolens,,,,native,S4S5,,reported,unobserved,1905-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),,,,,,Hmmm… Perhaps cold-ish mountaintops (on top of Bodega Ridge)? Reported for Mount Sutil,78979,VAS,accepted,78979,Sanicula graveolens,Sanicula graveolens
Saxifraga cespitosa,Saxifraga cespitosa,78985,Saxifraga cespitosa,78985,78985,L.,,tufted saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Saxifragaceae,,,Saxifraga,cespitosa,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,"Coastal rocks, but also shady rock fissures in mountains",78985,VAS,accepted,78985,Saxifraga cespitosa,Saxifraga cespitosa
Sceptridium multifidum,Sceptridium multifidum,78990,Sceptridium multifidum,78990,78990,(S.G.Gmel.) Tagawa,,leathery grape fern,Plantae,Tracheophyta,,,Psilotopsida,,,Ophioglossales,,,Ophioglossaceae,,,Sceptridium,multifidum,,,,native,S5,,reported,unobserved,1979-06-08,Harvey Janszen,RBCM,V097818,1949547079,,,,,78990,VAS,accepted,78990,Sceptridium multifidum,Sceptridium multifidum
Schoenoplectus acutus,Schoenoplectus acutus,59205,Schoenoplectus acutus,59205,59205,(Muhl. ex Bigelow) Á. Löve & D. Löve,,hard-stemmed bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Schoenoplectus,acutus,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-14,Adam Huggins,http://www.inaturalist.org/observations/3889083,Schoenoplectus tabernaemontani misapplied by H. Roemer (2000),59205,VAS,accepted,59205,Schoenoplectus acutus,Schoenoplectus acutus
Scilla luciliae,Scilla luciliae,244100,Scilla luciliae,244100,244100,(Boiss.) Speta,,Lucile's glory-of-the-snow,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Scilla,luciliae,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-03-04,"Alison, Laura and Malcolm Colwell",https://www.inaturalist.org/observations/2751042,flowers big (3.5 cm) => S. luciliae; if smaller S. forbesii.,244100,VAS,accepted,244100,Scilla luciliae,Scilla luciliae
Scirpus cyperinus,Scirpus cyperinus,79002,Scirpus cyperinus,79002,79002,(L.) Kunth,,woolgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Scirpus,cyperinus,,,,native,SU,,new 2018,observed,,,,,,2018-07-20,Andrew Simon,https://www.inaturalist.org/observations/14596576,,79002,VAS,accepted,79002,Scirpus cyperinus,Scirpus cyperinus
Scirpus microcarpus,Scirpus microcarpus,59068,Scirpus microcarpus,59068,59068,J. Presl & C. Presl,,small-flowered bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Scirpus,microcarpus,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2625800,,59068,VAS,accepted,59068,Scirpus microcarpus,Scirpus microcarpus
Scorzoneroides autumnalis,Scorzoneroides autumnalis,204167,Scorzoneroides autumnalis,204167,204167,(L.) Moench,,autumn hawkbit,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Scorzoneroides,autumnalis,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-10-13,Andrew Simon,https://www.inaturalist.org/observations/17481478,,204167,VAS,accepted,204167,Scorzoneroides autumnalis,Scorzoneroides autumnalis
Secale cereale,Secale cereale,79021,Secale cereale,79021,79021,L.,,rye,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Secale,cereale,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,79021,VAS,accepted,79021,Secale cereale,Secale cereale
Sedum acre,Sedum acre,55734,Sedum acre,55734,55734,L.,,goldmoss stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Crassulaceae,,,Sedum,acre,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-07-01,Andrew Simon,https://www.inaturalist.org/observations/13974437,,55734,VAS,accepted,55734,Sedum acre,Sedum acre
Sedum album,Sedum album,79025,Sedum album,79025,79025,L.,,white stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Crassulaceae,,,Sedum,album,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-11-14,Andrew Simon,http://www.inaturalist.org/observations/4571925,,79025,VAS,accepted,79025,Sedum album,Sedum album
Sedum lanceolatum var. nesioticum,Sedum lanceolatum nesioticum,238479,Sedum lanceolatum nesioticum,238479,238479,Torr.,(G.N. Jones) R.T. Clausen,lanceleaf stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Crassulaceae,,,Sedum,lanceolatum,,,nesioticum,native,S3S4,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-03-25,Andrew Simon,https://www.inaturalist.org/observations/5473488,,238479,VAS,accepted,238479,Sedum lanceolatum nesioticum,Sedum lanceolatum nesioticum
Sedum spathulifolium,Sedum spathulifolium,58886,Sedum spathulifolium,58886,58886,Hook.,,broad-leaved stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Crassulaceae,,,Sedum,spathulifolium,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2012-04-13,Brian Starzomski,https://www.inaturalist.org/observations/22396983,,58886,VAS,accepted,58886,Sedum spathulifolium,Sedum spathulifolium
Selaginella wallacei,Selaginella wallacei,63875,Selaginella wallacei,63875,63875,Hieron.,,Wallace's selaginella,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,Selaginellaceae,,,Selaginella,wallacei,,,,native,S5,,confirmed,observed,1986-08-17,William J. Crins,UBC,V191361,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566424,,63875,VAS,accepted,63875,Selaginella wallacei,Selaginella wallacei
Sempervivum tectorum,Sempervivum tectorum,51779,Sempervivum tectorum,51779,51779,L.,,houseleek,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,Semperviveae,Sempervivum,tectorum,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-10-22,Alejandro Huereca Delgado,https://www.inaturalist.org/observations/101067816,,51779,VAS,accepted,51779,Sempervivum tectorum,Sempervivum tectorum
Senecio sylvaticus,Senecio sylvaticus,53210,Senecio sylvaticus,53210,53210,L.,,wood groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Senecio,sylvaticus,,,,exotic,unlisted,,confirmed,observed,1986-08-16,William J. Crins,UBC,V190909,,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2631686,,53210,VAS,accepted,53210,Senecio sylvaticus,Senecio sylvaticus
Senecio vulgaris,Senecio vulgaris,53211,Senecio vulgaris,53211,53211,L.,,common groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Senecio,vulgaris,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-10,Andrew Simon,http://www.inaturalist.org/observations/3317322,,53211,VAS,accepted,53211,Senecio vulgaris,Senecio vulgaris
Setaria viridis,Setaria viridis,79070,Setaria viridis,79070,79070,(L.) P.Beauv.,,green bristlegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,,Setaria,viridis,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-08-11,Andrew Simon,https://www.inaturalist.org/observations/30789994,,79070,VAS,accepted,79070,Setaria viridis,Setaria viridis
Shepherdia canadensis,Shepherdia canadensis,79072,Shepherdia canadensis,79072,79072,(L.) Nutt.,,soopolallie,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Elaeagnaceae,,,Shepherdia,canadensis,,,,native,S5,,confirmed,observed,1989-04-06,Gerald B. Straley,UBC,V197705,,2010-08-14,T. Abe Lloyd,https://www.inaturalist.org/observations/37239711,,79072,VAS,accepted,79072,Shepherdia canadensis,Shepherdia canadensis
Sherardia arvensis,Sherardia arvensis,47691,Sherardia arvensis,47691,47691,L.,,field madder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Rubiaceae,Rubioideae,,Sherardia,arvensis,,,,exotic,unlisted,,confirmed,observed,1987-05-02,Gerald B. Straley,UBC,V191772,,2017-06-23,Lauren Magner & Andrew Simon,https://www.inaturalist.org/observations/7549644,,47691,VAS,accepted,47691,Sherardia arvensis,Sherardia arvensis
Silene antirrhina,Silene antirrhina,58780,Silene antirrhina,58780,58780,L.,,sleepy catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,antirrhina,,,,native,S5,,confirmed,observed,2022-06-13,Frank Lomer,UBC,13036,,2015-06-05,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563565,,58780,VAS,accepted,58780,Silene antirrhina,Silene antirrhina
Silene coronaria,Silene coronaria,485191,Silene coronaria,485191,485191,(Desr.) Clairv. ex Rchb.,,rose campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,coronaria,,,,exotic,unlisted,,confirmed,observed,1986-08-03,Gerald B. Straley,UBC,V190607,,2015-05-31,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2663725,Reported as Lychnis coronaria,485191,VAS,accepted,485191,Silene coronaria,Silene coronaria
Silene gallica,Silene gallica,53212,Silene gallica,53212,53212,L.,,small-flowered catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,gallica,,,,exotic,unlisted,,new 2022,unobserved,2022-06-10,Frank Lomer,UBC,12997,,,,,,53212,VAS,accepted,53212,Silene gallica,Silene gallica
Silene latifolia,Silene latifolia,79109,Silene latifolia alba,128683,79109,(Mill.) E.H.L. Krause,,white cockle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,latifolia,,,,exotic,unlisted,,reported,unobserved,1975-06-28,Angela Wood,RBCM,V097138,1949546413,,,,,128683,VAS,accepted,79109,Silene latifolia,Silene latifolia alba
Silene vulgaris,Silene vulgaris,55721,Silene vulgaris,55721,55721,(Moench) Garcke,,bladder campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,vulgaris,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,55721,VAS,accepted,55721,Silene vulgaris,Silene vulgaris
Sinapis arvensis,Sinapis arvensis,53264,Sinapis arvensis,53264,53264,L.,,corn mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Sinapis,arvensis,,,,exotic,unlisted,,reported,unobserved,1928-01-07,J. Travis,RBCM,V020104,1949469423,,,,,53264,VAS,accepted,53264,Sinapis arvensis,Sinapis arvensis
Sisymbrium altissimum,Sisymbrium altissimum,56996,Sisymbrium altissimum,56996,56996,L.,,tall tumble-mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Sisymbrium,altissimum,,,,exotic,unlisted,,reported,unobserved,1982-08-14,Harvey Janszen,RBCM,V120266,1949569193,,,,waste ground and garden,56996,VAS,accepted,56996,Sisymbrium altissimum,Sisymbrium altissimum
Sisymbrium officinale,Sisymbrium officinale,53266,Sisymbrium officinale,53266,53266,(L.) Scop.,,hedge mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Sisymbrium,officinale,,,,exotic,unlisted,,confirmed,observed,1975-05-14,Angela Wood,RBCM,V097720,1949546742,2016-05-05,Andrew Simon,http://www.inaturalist.org/observations/3113986,"waste ground, gravel pit; L-66",53266,VAS,accepted,53266,Sisymbrium officinale,Sisymbrium officinale
Sisyrinchium idahoense var. idahoense,Sisyrinchium idahoense idahoense,81372,Sisyrinchium idahoense,79129,81372,E.P. Bicknell,,Idaho blue-eyed-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,Sisyrinchieae,Sisyrinchium,idahoense,,,,native,S3S4,,confirmed,observed,2022-06-10,Frank Lomer,UBC,13005,,2022-06-12,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/121538450,"S. macounii, S. segetum? Sometimes retained as varieties, sometimes synonymized",79129,VAS,accepted,81372,Sisyrinchium idahoense idahoense,Sisyrinchium idahoense
Solanum americanum,Solanum americanum,59035,Solanum americanum,59035,59035,Mill.,,American black nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solonaceae,Solanoideae,Solaneae,Solanum,americanum,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2020-09-07,Sylvie Hawkes,https://www.inaturalist.org/observations/62566198,,59035,VAS,accepted,59035,Solanum americanum,Solanum americanum
Solanum nigrum,Solanum nigrum,1351686,Solanum nigrum,79141,1351686,L.,,black nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solanaceae,Solanoideae,Solaneae,Solanum,nigrum,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-08-31,Adam Huggins,https://www.inaturalist.org/observations/16162530,,79141,VAS,accepted,1351686,Solanum nigrum,Solanum nigrum
Solanum physalifolium,Solanum physalifolium,79142,Solanum physalifolium,79142,79142,Rusby,,ground-cherry nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solanaceae,Solanoideae,Solaneae,Solanum,physalifolium,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-07-11,Andrew Simon,https://www.inaturalist.org/observations/14281200,,79142,VAS,accepted,79142,Solanum physalifolium,Solanum physalifolium
Solanum sarrachoides,Solanum sarrachoides,120519,Solanum sarrachoides,120519,120519,Sendtn.,,hairy nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solanaceae,Solanoideae,Solaneae,Solanum,sarrachoides,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-31,Andrew Simon,http://www.inaturalist.org/observations/3786944,,120519,VAS,accepted,120519,Solanum sarrachoides,Solanum sarrachoides
Solidago canadensis,Solidago canadensis,67808,Solidago canadensis,67808,67808,L.,,Canada goldenrod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Solidago,canadensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-13,Andrew Simon,http://www.inaturalist.org/observations/3682274,,67808,VAS,accepted,67808,Solidago canadensis,Solidago canadensis
Soliva sessilis,Soliva sessilis,60150,Soliva sessilis,60150,60150,Ruiz & Pav.,,carpet burweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Soliva,sessilis,,,,exotic,unlisted,,new 2019,observed,2022-06-11,Frank Lomer,UBC,13021,,2019-05-05,Jason Headley,https://www.inaturalist.org/observations/24698758,,60150,VAS,accepted,60150,Soliva sessilis,Soliva sessilis
Sonchus arvensis ssp. arvensis,Sonchus arvensis arvensis,80219,Sonchus arvensis,79156,80219,L.,,perennial sow thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,arvensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-27,Andrew Simon,http://www.inaturalist.org/observations/3540047,,79156,VAS,accepted,80219,Sonchus arvensis arvensis,Sonchus arvensis
Sonchus asper,Sonchus asper,53269,Sonchus asper,53269,53269,(L.) Hill,,prickly sow-thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,asper,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-30,Andrew Simon,http://www.inaturalist.org/observations/3351171,,53269,VAS,accepted,53269,Sonchus asper,Sonchus asper
Sonchus oleraceus,Sonchus oleraceus,53294,Sonchus oleraceus,53294,53294,(L.) L.,,common sow-thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,oleraceus,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2621485,,53294,VAS,accepted,53294,Sonchus oleraceus,Sonchus oleraceus
Sorbus aucuparia,Sorbus aucuparia,56063,Sorbus aucuparia,56063,56063,L.,,European mountain-ash,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Sorbus,aucuparia,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-08-15,Adam Huggins,http://www.inaturalist.org/observations/3899003,,56063,VAS,accepted,56063,Sorbus aucuparia,Sorbus aucuparia
Sparganium angustifolium,Sparganium angustifolium,79161,Sparganium angustifolium,79161,79161,Michx.,,narrow-leaved bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,angustifolium,,,,native,S5,,new 2017,observed,2017-05-27,Tyler Innes,Bioblitz Galiano2017,,,2018-07-12,Andrew Simon,https://www.inaturalist.org/observations/14300204,,79161,VAS,accepted,79161,Sparganium angustifolium,Sparganium angustifolium
Sparganium emersum,Sparganium emersum,62575,Sparganium emersum,62575,62575,Rehmann,,emersed bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,emersum,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2016-08-13,Andrew Simon,http://www.inaturalist.org/observations/3881646,,62575,VAS,accepted,62575,Sparganium emersum,Sparganium emersum
Sparganium natans,Sparganium natans,79162,Sparganium natans,79162,79162,L.,,small bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,natans,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2018-07-05,Andrew Simon,https://www.inaturalist.org/observations/14222179,,79162,VAS,accepted,79162,Sparganium natans,Sparganium natans
Spergula arvensis,Spergula arvensis,57005,Spergula arvensis,57005,57005,L.,,corn-spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Spergula,arvensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-04-07,Andrew Simon,https://www.inaturalist.org/observations/10771293,,57005,VAS,accepted,57005,Spergula arvensis,Spergula arvensis
Spergularia canadensis var. occidentalis,Spergularia canadensis occidentalis,81378,Spergularia canadensis occidentalis,81378,81378,(Pers.) G. Don,R. Rossbach,Canadian sand-spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,Sperguleae,Spergularia,canadensis,,,occidentalis,native,S5,,confirmed,observed,1979-08-15,Harvey Janszen,RBCM,V097810,1949546916,2016-07-18,Andrew Simon,http://www.inaturalist.org/observations/3701047,,81378,VAS,accepted,81378,Spergularia canadensis occidentalis,Spergularia canadensis occidentalis
Spergularia macrotheca var. macrotheca,Spergularia macrotheca macrotheca,61474,Spergularia macrotheca,61472,61474,(Hornem. ex Cham. & Schltdl.) Heynh.,,beach sand spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,Sperguleae,Spergularia,macrotheca,,,,native,S4?,,new 2017,observed,,,,,,2017-08-11,Tyson Ehlers,https://www.inaturalist.org/observations/8816633,,61472,VAS,accepted,61474,Spergularia macrotheca macrotheca,Spergularia macrotheca
Spergularia marina,Spergularia marina,79169,Spergularia marina,79169,79169,(L.) Besser,,saltmarsh sand spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,Sperguleae,Spergularia,marina,,,,exotic,unlisted,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113522,1949562537,2017-08-04,Tyson Ehlers,https://www.inaturalist.org/observations/8848751,,79169,VAS,accepted,79169,Spergularia marina,Spergularia marina
