"Order","Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"butterflies and moths (Lepidoptera)","Lambdina fiscellaria","Hemlock Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lateroligia ophiogramma","Double-lobed Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Leptarctia californiae","California Tiger Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Leucania dia","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Leucania farcta","Meadow Wainscot Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Leucania insueta","Heterodox Wainscot Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Leucoma salicis","White Satin Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Limenitis arthemis","Red-spotted Admiral","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Limenitis lorquini ilgae","","S5 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Litholomia napaea","False Pinion Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithomoia germana","American Brindle Moth","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithophane amanda","Amanda's Pinion","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithophane baileyi","Bailey's Pinion","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithophane dilatocula","","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithophane georgii","Large Grey Pinion","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithophane innominata","Nameless Pinion","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithophane pertorrida","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lithophane petulca","Wanton Pinion","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lobophora nivigerata","Powdered Bigwing Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lomographa semiclarata","Bluish Spring Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Lophocampa argentata","Silver-spotted Tiger Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Lophocampa maculata","Spotted Tussock Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Lophocampa roseata","Rosy Aemilia","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Lotisma trigonana","","S2S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Lycaena cupreus","Lustrous Copper","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Macaria adonis","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Macaria bitactata","Split-lined Angle","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Macaria lorquinaria","Lorquin's Angle","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Macaria pinistrobata","White Pine Angle","","","",""
"butterflies and moths (Lepidoptera)","Macaria signaria","Pale-marked Angle","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Malacosoma californica","Western Tent Caterpillar Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Malacosoma disstria","Forest Tent Caterpillar Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Mamestra configurata","Bertha Armyworm Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Marmara arbutiella","Madrone Skin Miner","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Martania grandis","Grand Rivulet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Melanchra adjuncta","Hitched Arches","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Melanchra pulverulenta","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Melanolophia imitata","Western Carpet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Mesapamea secalis","Common rustic","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Mesogona olivata","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Mesoleuca gratulata","Western White-Ribboned Carpet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Metarranthis duaria","Ruddy Metarranthis Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Metzneria lappella","Burdock Seedhead Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Mompha eloisella","Red-streaked Mompha Moth","S2S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Monopis crocicapitella","Bird Nest Moth","S2S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Monopis weaverella","Carrion Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Morophagoides burkerella","","S3S5 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Mycterophora longipalpata","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Myelopsis subtetricella","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Mythimna oxygala","Lesser Wainscot","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nadata gibbosa","White-dotted Prominent","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nemapogon granella","European grain moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Nemoria darwiniata","Columbian Emerald","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nemoria unitaria","Single-lined Emerald","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Neoalcis californiaria","Brown-lined Looper","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Neophasia menapia","Pine White","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Neoterpes trianguliferata","Canary Thorn","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nephelodes minians","Bronzed Cutworm Moth","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nepytia phantasmaria","Phantom Hemlock Looper","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nepytia umbrosaria","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Noctua comes","Lesser Yellow Underwing","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Noctua pronuba","Large Yellow Underwing","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Nola minna","Ceanothus Nola Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nomenia duodecemlineata","","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Nomophila nearctica","Lucerne Moth","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Notocelia cynosbatella","Yellow-faced Bell","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Notocelia rosaecolana","Doubleday's Notocelia Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Nycteola cinereana","Grey Midget Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nycteola columbiana","","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nycteola frigidana","Frigid Owlet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Nymphalis antiopa","Mourning Cloak","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Nymphalis californica","California Tortoiseshell","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Nymphalis l-album","Compton Tortoiseshell","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Occidentalia comptulatalis","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Ochlodes sylvanoides","Woodland Skipper","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Ochropleura implecta","Flame-shouldered Dart","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Oecophora bractella","Gold-base Tubic","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Oegoconia novimundi","Four-spotted Yellowneck Moth","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Oegoconia quadripuncta","Four-spotted Yellowneck Moth","","","",""
"butterflies and moths (Lepidoptera)","Oeneis chryxus","Chryxus Arctic","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Oeneis melissa beanii","Bean's Melissa Arctic","S5 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Oidaematophorus occidentalis","Western Plume Moth","S2S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Oligia divesta","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Operophtera brumata","Winter Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Operophtera occidentalis","Western Bruce Spanworm","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Oreana unicolorella","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Orgyia antiqua","Rusty Tussock Moth","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Orgyia pseudotsugata","Douglas-fir tussock moth","S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Orthosia hibisci","Speckled Green Fruitworm Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Orthosia pacifica","Pacific Quaker","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Orthosia praeses","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Orthosia revicta","Subdued Quaker","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Orthosia transparens","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Oxyptilus delawaricus","Hawkweed Plume Moth","S4? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Palthis angulalis","Dark-spotted Palthis Moth","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pandemis cerasana","Barred Fruit-tree Tortrix","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Panthea virginarius","Western Panthea Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Paonias excaecata","Blinded Sphinx","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Papestra cristifera","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Papilio eurymedon","Pale Swallowtail","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Papilio machaon","Old World Swallowtail","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Papilio rutulus","Western Tiger Swallowtail","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Papilio zelicaon","Anise Swallowtail","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Parabagrotis insularis","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Parabagrotis sulinaris","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Parapoynx allionealis","Watermilfoil Leafcutter Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Parnassius clodius claudianus","Claudianus Parnassian","S3S4 (2023)","Blue","",""
"butterflies and moths (Lepidoptera)","Parnassius clodius pseudogallatinus","False Gallatin Parnassian","S3S4 (2023)","Blue","",""
"butterflies and moths (Lepidoptera)","Parnassius smintheus magnus","","S5 (2021)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pasiphila rectangulata","Green Pug","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Pediasia trisecta","Sod Webworm Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pennisetia marginatum","Raspberry Crown Borer","S3? (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Peridroma saucia","Variegated Cutworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Perispasta caeculalis","Titian Peale's Moth","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Perizoma costiguttata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Perizoma curvilinea","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pero behrensaria","Behr's Pero Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pero honestaria","Honest Pero Moth","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pero mizon","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pero morrisonaria","Morrison's Pero Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pheosia rimosa","Black-rimmed Prominent","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Phiaris glaciana","","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Philedia punctomacularia","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Phlogophora periculosa","Brown Angle Shades","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Phobus brucei","","S2S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Phragmatobia fuliginosa","Ruby Tiger Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Phyciodes mylitta","Mylitta Crescent","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Phyciodes pulchella","Field Crescent","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Phycitodes mucidella","White-edged Phycitodes Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Phyllocnistis sp.","","","","",""
"butterflies and moths (Lepidoptera)","Phyllodesma americana","American Lappet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pieris marginalis","Margined White","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pieris rapae","Small White","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Plagodis phlogosaria","Straight-lined Plagodis Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Plagodis pulveraria","Barred Umber","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Platyptilia carduidactylus","Artichoke Plume Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Plebejus anna ricei","Rice's Blue","S4 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Plebejus idas","Northern Blue","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Plemyria georgii","George's Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Plodia interpunctella","Indian-Meal Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Plusia nichollae","West Coast Plusia","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Plutella xylostella","Diamondback Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Polia nimbosa","Stormy Arches","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Polia piniae","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Polix coloradella","Skunk Moth","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Polygonia faunus","Green Comma","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Polygonia gracilis zephyrus","Zephyr Comma","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Polygonia oreas","Oreas Comma","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Polygonia satyrus","Satyr Comma","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pontia occidentalis","Western White","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pontia sisymbrii","Spring White","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Probole amicaria","Friendly Probole Moth","","","",""
"butterflies and moths (Lepidoptera)","Prochoerodes forficaria","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Promylea lunigerella","","S2S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Proserpinus flavofasciata","Yellow-banded Day Sphinx","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Proteoteras aesculana","Maple Twig Borer Moth","S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Protitame subalbaria","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Protoboarmia porcelaria","Porcelain Gray","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Protodeltote albidula","Pale Glyph","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Protolampra rufipectus","Red-breasted Dart","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pseudobryomima muscosa","Mossy Pseudobryomima Moth","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pseudorthodes irrorata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Pseudothyatira cymatophoroides","Tufted Thyatirine Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Psyche casta","Common Bagworm Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Pterourus sp.","Tiger Swallowtails and Allies","","","",""
"butterflies and moths (Lepidoptera)","Pyla fusca","Speckled Black Pyla Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pyralis farinalis","Meal moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Pyrausta californicalis","California Pyrausta Moth","S2S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Pyrausta nicalis","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Pyrausta perrubralis","","S3? (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Pyrgus ruralis","Two-banded Checkered-Skipper","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pyrrharctia isabella","Isabella Tiger Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Pyrrhia exprimens","Purple-lined Sallow","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Raphia frater","Brother Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Recurvaria nanella","Lesser Bud Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Retinia picicolana","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Rheumaptera hastata","Spear-marked Black Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Rheumaptera meadii","Barberry Geometer Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Rheumaptera undulata","Scallop Shell Moths","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Rhigognostis interrupta","","SNR (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Rhododactyla sp.","","","","",""
"butterflies and moths (Lepidoptera)","Rhopobota naevana","Holly Tortrix","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Rivula propinqualis","Spotted Grass Moth","S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Sabulodes edwardsata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Sabulodes packardata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Sabulodes venata","Variable Girdle Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Satyrium sylvinus","Sylvan Hairstreak","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Schizura ipomaeae","Morning-glory Prominent","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Schreckensteinia festaliella","Blackberry Skeletonizer","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Scoliopteryx libatrix","Herald Moth","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Scoparia biplagialis","Double-striped Scoparia Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Scopula junctaria","Simple Wave","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Selenia alciphearia","Brown-tipped Thorn","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Semioscopis packardella","Packard's Concealer Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Sicya macularia","Sharp-lined Yellow","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Smerinthus cerisyi","One-eyed Sphinx","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Smerinthus ophthalmica","Western Eyed Sphinx","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Sorhagenia nimbosus","Coffeeberry Midrib Gall Moth","S3S4 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Spargania luctuata","White-banded Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Spargania magnoliata","Double-banded Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Sphinx perelegans","Elegant Sphinx","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Spilonota ocellana","Eye-spotted Bud Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Spilosoma virginica","Virginian Tiger Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Spiramater lutra","Otter Spiramater Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Stamnoctenis pearsalli","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Stenoporpia excelsaria","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Stenoporpia pulmonaria","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Stigmella anomalella","Rose Leaf Miner","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Stigmella microtheriella","Hazel Leafminer Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Stretchia muricina","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Strymon melinus atrofasciata","","S4? (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Sunira decipiens","Shield-backed Cutworm Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Sympistis dunbari","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Sympistis heliophila","","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Sympistis wilsoni","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Synanthedon albicornis","Western Willow Clearwing Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Synanthedon novaroensis","Douglas-fir Pitch Moth","S3S5 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Synanthedon scitula","Dogwood Borer Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Synanthedon tipuliformis","Currant Clearwing Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Syngrapha angulidens","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Syngrapha celsa","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Syngrapha epigaea","Epigaea Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Syngrapha orophila","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Syngrapha rectangula","Salt-and-pepper Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Syngrapha selecta","Chosen Looper Moth","S2S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Syngrapha viridisigma","Spruce False Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Tehama bonifatella","Western Lawn Moth","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Tetracis cervinaria","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Tetracis jubararia","October Thorn","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Tetracis pallulata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Thallophaga hyperborea","Northern Thallophaga","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Thallophaga taylorata","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Tharsalea helloides","Purplish Copper","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Tharsalea mariposa","Mariposa Copper","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Thaumatographa youngiella","","S2S3 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Thera juniperata","Juniper Carpet","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Thymelicus lineola","Essex Skipper","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Thyraylia nana","Birch Conch","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Tinea pellionella","Case-bearing Clothes Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Tineola bisselliella","Webbing Clothes Moth","SNA (2019)","Exotic","",""
"butterflies and moths (Lepidoptera)","Tolype dayi","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Tolype distincta","","","","",""
"butterflies and moths (Lepidoptera)","Tortricidia testacea","Early Button Slug Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Trichodezia albovittata","White-striped Black","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Trichoplusia ni","Cabbage Looper Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Trichordestra lilacina","Aster Cutworm","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Trichordestra liquida","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Trichordestra tacoma","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Triphosa haesitata","Tissue Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Tyria jacobaeae","Cinnabar moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Udea profundalis","","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Udea rubigalis","Celery Leaftier Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Udea turmalis","","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Udea washingtonalis","Washington Udea Moth","S5 (2020)","Yellow","",""
