scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Circus hudsonius,L.,Northern Harrier,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Circus,hudsonius,,,,accepted,558446,Circus hudsonius,Circus hudsonius,permanent,
Cistothorus palustris,Wilson,Marsh Wren,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Troglodytidae,,,Cistothorus,palustris,,,,accepted,7601,Cistothorus palustris,Cistothorus palustris,permanent,
Clangula hyemalis,L.,Long-tailed Duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Clangula,hyemalis,,,,accepted,7170,Clangula hyemalis,Clangula hyemalis,winter,
Coccyzus americanus,L.,Yellow-billed Cuckoo,Animalia,Chordata,Vertebrata,,Aves,,,Cuculiformes,,,,Cuculidae,Cuculinae,,Coccyzus,americanus,,,,accepted,1965,Coccyzus americanus,Coccyzus americanus,accidental,
Colaptes auratus,L.,Northern Flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,Picinae,Picini,Colaptes,auratus,,,,accepted,18236,Colaptes auratus,Colaptes auratus,permanent,
Colaptes auratus cafer,Gmelin,Northern Red-shafted Flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,Picinae,Picini,Colaptes,auratus,,Colaptes auratus cafer,,accepted,236980,Colaptes auratus cafer,Colaptes auratus cafer,permanent,
Colaptes auratus luteus × cafer,L.,Yellow-shafted × Red-shafted Flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,Picinae,Picini,Colaptes,auratus,,,,accepted,508215,Colaptes auratus luteus × cafer,Colaptes auratus luteus × cafer,permanent,
Columba livia,Gmelin,Rock Pigeon,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,,Columbidae,,,Columba,livia,,,,accepted,3017,Columba livia,Columba livia,introduced,
Contopus cooperi,Swainson,Olive-sided Flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Contopus,cooperi,,,,accepted,16110,Contopus cooperi,Contopus cooperi,breeding,
Contopus sordidulus,Slater,Western Wood-Pewee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Contopus,sordidulus,,,,accepted,16079,Contopus sordidulus,Contopus sordidulus,breeding,
Cyanocitta cristata,L.,Blue Jay,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Corvidae,,,Cyanocitta,cristata,,,,accepted,8229,Cyanocitta cristata,Cyanocitta cristata,accidental,
Cyanocitta stelleri carlottae,Gmelin,Haida Gwaii Steller's Jay,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Corvidae,,,Cyanocitta,stelleri,,Cyanocitta stelleri carlottae,,accepted,236985,Cyanocitta stelleri carlottae,Cyanocitta stelleri,permanent,
Cygnus buccinator,Richardson,Trumpeter Swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,buccinator,,,,accepted,6915,Cygnus buccinator,Cygnus buccinator,winter,
Cygnus columbianus,Ord.,Tundra Swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,columbianus,,,,accepted,6917,Cygnus columbianus,Cygnus columbianus,winter,
Cygnus olor,Gmelin,Mute Swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,olor,,,,accepted,6921,Cygnus olor,Cygnus olor,accidental,
